"Gene_Name","Number_of_binding_site","Average_strength_of_binding","Expression_covariation"
"FBgn0052475",3,6.07,-0.319231024
"FBgn0051974",7,4.44,-0.328384476
"FBgn0051559",4,4.66,-0.329013071
"FBgn0025683",3,5.74,-0.330380793
"FBgn0010395",3,6.48,-0.360519911
"FBgn0039769",4,5.74,-0.363066388
"FBgn0037678",3,4.2,-0.3672221
"FBgn0051973",4,3.48,-0.388001081
"FBgn0035103",6,3.292727273,-0.391010385
"FBgn0025712",4,4.12,-0.392674863
"FBgn0002121",4,3.246,-0.41379196
"FBgn0260794",3,7.286666667,-0.420925922
"FBgn0031252",3,6.88,-0.431615997
"FBgn0010225",5,5.326666667,-0.433590292
"FBgn0000043",4,3.26,-0.448282646
"FBgn0031239",3,3.46,-0.482811994
"FBgn0031224",4,3.55,-0.486457207
"FBgn0261436",11,3.31,-0.49152059
"FBgn0020622",3,4.93,-0.500056855
"FBgn0053229",3,4.02,-0.516126344
"FBgn0010323",3,3.48,-0.524843299
"FBgn0035106",4,4.75,-0.538681427
"FBgn0035099",12,3.12,-0.540794475
"FBgn0026787",4,6.12,-0.543367086
"FBgn0010772",3,3.126666667,-0.552591553
"FBgn0035113",4,4.02,-0.552770222
"FBgn0031245",15,3.19,-0.553281086
"FBgn0037248",4,7.148888889,-0.556550354
"FBgn0027786",6,3.32,-0.580497249
"FBgn0035270",3,6.5,-0.601290495
"FBgn0037391",3,4.44,-0.612554689
"FBgn0027930",3,3.91,-0.621437031
"FBgn0037250",3,5.148888889,-0.621441965
"FBgn0259818",7,3.122857143,-0.627515344
"FBgn0261434",5,3.98,-0.65898459
"FBgn0037293",4,3.11,-0.660505712
"FBgn0037242",4,7.34,-0.66156729
"FBgn0032489",4,7.32,-0.691593977
"FBgn0002522",3,5.1,-0.692279013
"FBgn0035205",3,7.126666667,-0.703296707
"FBgn0035101",4,4.133333333,-0.709880004
"FBgn0025725",3,4.2,-0.727460437
"FBgn0262109",3,3.53,-0.745053142
"FBgn0031250",3,3.1,-0.775404889
"FBgn0010228",3,3.64,-0.775858182
"FBgn0023214",5,3.53,-0.828708441
"FBgn0037213",4,6.93,-0.833559586
