"Gene_Name","Number_of_binding_site","Average_strength_of_binding","Expression_covariation"
"FBgn0016756",4,4.72,0.298293368
"FBgn0037878",3,3.406666667,0.298112111
"FBgn0033184",4,3.34,0.290814922
"FBgn0036726",14,3.45,0.276692083
"FBgn0004106",10,3.365,0.274414186
"FBgn0031738",3,3.093333333,0.268780164
"FBgn0031711",4,3.7,0.268451428
"FBgn0039713",9,3.488888889,0.249707528
"FBgn0010342",6,3.59,0.235359747
"FBgn0031992",13,3.52,0.235225134
"FBgn0036062",4,3.315,0.23308437
"FBgn0036826",3,3.473333333,0.228456835
"FBgn0035771",8,6.165,0.201805485
"FBgn0035720",3,3.64,0.185244279
"FBgn0010288",13,3.426666667,0.183534439
"FBgn0031268",6,6.291666667,0.179971699
"FBgn0012034",4,5.325,0.176368787
"FBgn0053213",7,5.168571429,0.166885473
"FBgn0042712",14,4.2,0.158285672
"FBgn0010113",14,4.45,0.15499865
"FBgn0036340",3,3.2,0.142724453
"FBgn0086710",3,3.19,0.140929407
"FBgn0031760",3,5.693333333,0.12823789
"FBgn0086856",4,4.88,0.124144261
"FBgn0003545",3,3.32,0.115086938
"FBgn0034405",4,3.61,0.103548649
"FBgn0261562",3,6.233333333,0.098324247
"FBgn0027513",4,3.27,0.080992488
"FBgn0034628",3,3.646666667,0.076470633
"FBgn0028683",3,5.626666667,0.073557897
"FBgn0040007",5,3.56,0.062126106
"FBgn0031459",3,3.54,0.059069714
"FBgn0016696",3,3.7,0.050542996
"FBgn0260861",12,4.393333333,0.037978992
"FBgn0051866",4,3.2,0.037875105
"FBgn0262603",5,4.504,0.035883495
"FBgn0035336",3,3.5,0.035151755
"FBgn0262970",5,3.54,0.027836669
"FBgn0029514",8,5.785,-0.005775463
"FBgn0037241",34,6.697058824,-0.009357171
"FBgn0004777",16,5.7775,-0.013156371
"FBgn0041191",15,7.92,-0.013396878
"FBgn0035253",6,4.093333333,-0.016299235
"FBgn0033376",5,6.448,-0.019932498
"FBgn0039114",5,3.48,-0.021278034
"FBgn0038302",6,6.38,-0.024540686
"FBgn0004870",8,5.66,-0.026822167
"FBgn0010750",8,3.5125,-0.029384852
"FBgn0031631",6,3.98,-0.033098616
"FBgn0052069",4,3.77,-0.034085786
"FBgn0035159",7,5.618571429,-0.036634762
"FBgn0037230",6,3.564307692,-0.039053271
"FBgn0028734",4,6.73,-0.055970703
"FBgn0032869",10,7.48,-0.056506075
"FBgn0035146",17,6.784705882,-0.058233544
"FBgn0039130",4,7.08,-0.061343387
"FBgn0035298",17,7.834285714,-0.063631359
"FBgn0038407",4,4.755,-0.064099191
"FBgn0037923",12,5.673333333,-0.064674491
"FBgn0031384",7,4.794285714,-0.069611795
"FBgn0039116",6,3.47,-0.071421339
"FBgn0028540",11,4.603636364,-0.072100236
"FBgn0016715",15,3.845333333,-0.073078203
"FBgn0020279",8,4.812,-0.078745027
"FBgn0263346",16,3.64375,-0.080260267
"FBgn0001316",4,3.515,-0.085850864
"FBgn0032871",6,3.69,-0.09185967
"FBgn0037228",15,4.700196078,-0.095776279
"FBgn0025592",11,4.627941176,-0.097044513
"FBgn0037265",10,3.456,-0.098010863
"FBgn0033431",9,4.666666667,-0.09968438
"FBgn0013753",6,6.656666667,-0.104297799
"FBgn0262955",3,7.18,-0.105437604
"FBgn0035110",3,6.605903614,-0.107226395
"FBgn0027066",7,3.48,-0.109206224
"FBgn0026427",7,6.55,-0.115666726
"FBgn0004378",10,6.544,-0.116097084
"FBgn0035199",7,4.02,-0.11715523
"FBgn0037313",8,3.6875,-0.120970897
"FBgn0003510",5,3.556,-0.125789474
"FBgn0016977",13,4.502352941,-0.130262477
"FBgn0260756",26,5.428888889,-0.130311193
"FBgn0033246",11,3.786666667,-0.138034533
"FBgn0036574",3,5.73,-0.158128985
"FBgn0028675",4,5.84,-0.160340055
"FBgn0039588",13,7.006666667,-0.169879868
"FBgn0037262",18,3.754444444,-0.174240958
"FBgn0031399",12,3.496666667,-0.182089629
"FBgn0003415",4,6.96,-0.182369298
"FBgn0032491",21,7.256,-0.183814457
"FBgn0031228",10,6.447,-0.184373758
"FBgn0037215",8,4.599302326,-0.1858679
"FBgn0034877",4,7.01,-0.188245814
"FBgn0035189",30,3.794666667,-0.190353646
"FBgn0031294",8,3.79,-0.191928411
"FBgn0035287",16,4.44,-0.192545712
"FBgn0037240",12,5.530222222,-0.19639202
"FBgn0086758",11,3.405,-0.1971065
"FBgn0022981",12,3.691666667,-0.197893134
"FBgn0028481",13,4.48,-0.198472242
"FBgn0032026",12,4.701666667,-0.200808828
"FBgn0035268",10,5.579,-0.202563074
"FBgn0037225",12,6.782439024,-0.202626636
"FBgn0013755",9,5.677777778,-0.205564783
"FBgn0035144",8,3.5525,-0.206687759
"FBgn0038806",10,3.576,-0.207443371
"FBgn0027538",14,4.83,-0.215717469
"FBgn0031253",13,4.915384615,-0.219175303
"FBgn0037217",16,5.460793651,-0.219180865
"FBgn0035318",18,5.723333333,-0.228833289
"FBgn0031285",20,3.52,-0.228890156
"FBgn0032812",4,5.73,-0.228959882
"FBgn0035227",7,3.782857143,-0.231444657
"FBgn0046222",8,5.995,-0.23542655
"FBgn0031220",31,3.564117647,-0.24123745
"FBgn0010424",6,3.466666667,-0.243682894
"FBgn0013342",24,4.61375,-0.245405042
"FBgn0052311",18,3.4925,-0.245661886
"FBgn0037224",16,4.588392857,-0.248644341
"FBgn0037317",8,3.4925,-0.249690953
"FBgn0086906",5,3.552,-0.25200646
"FBgn0027491",4,3.68,-0.257173066
"FBgn0035431",3,3.926666667,-0.259086262
"FBgn0263109",4,3.74,-0.262717832
"FBgn0039766",7,3.92,-0.26621894
"FBgn0263113",5,4.468,-0.270579801
"FBgn0051100",6,3.566666667,-0.280932419
"FBgn0031216",27,4.585185185,-0.281240694
"FBgn0035266",6,3.636666667,-0.296009453
"FBgn0051481",19,4.547894737,-0.296815021
"FBgn0036648",5,7.168,-0.297146619
"FBgn0038809",4,3.5,-0.301163258
"FBgn0035203",11,3.55,-0.305157013
"FBgn0033032",7,3.64,-0.306068596
"FBgn0037372",9,4.566666667,-0.306937128
"FBgn0041605",7,3.648219178,-0.30786663
"FBgn0015905",20,4.476666667,-0.309457994
"FBgn0035751",4,3.68,-0.312607526
"FBgn0027570",13,4.573846154,-0.317478567
"FBgn0052475",15,4.630243902,-0.319231024
"FBgn0261437",5,5.6,-0.321927208
"FBgn0051974",16,3.567826087,-0.328384476
"FBgn0051559",14,4.678571429,-0.329013071
"FBgn0025683",16,3.510645161,-0.330380793
"FBgn0052944",27,5.472592593,-0.334256171
"FBgn0051632",11,3.833333333,-0.334468699
"FBgn0035325",9,5.344444444,-0.33691558
"FBgn0036662",6,3.93,-0.34004971
"FBgn0031634",16,3.653333333,-0.346940563
"FBgn0043364",23,3.695384615,-0.356560664
"FBgn0010395",5,7.044,-0.360519911
"FBgn0039769",6,3.906666667,-0.363066388
"FBgn0032221",6,3.6,-0.363328382
"FBgn0037678",11,3.670909091,-0.3672221
"FBgn0039157",4,4.07,-0.379905241
"FBgn0051973",18,4.63872093,-0.388001081
"FBgn0035103",15,3.699782609,-0.391010385
"FBgn0025712",10,3.63,-0.392674863
"FBgn0036977",4,4.68,-0.394005244
"FBgn0002021",9,7.116,-0.395188985
"FBgn0039688",10,3.636,-0.402493767
"FBgn0261613",12,4.601428571,-0.408224413
"FBgn0000099",6,4.81,-0.408870435
"FBgn0262126",4,3.55,-0.413202412
"FBgn0002121",11,3.583333333,-0.41379196
"FBgn0031261",6,3.906666667,-0.414498317
"FBgn0260794",23,4.629565217,-0.420925922
"FBgn0264479",3,4.466666667,-0.421941883
"FBgn0031252",14,3.892857143,-0.431615997
"FBgn0010225",15,3.688636364,-0.433590292
"FBgn0031818",3,6.6,-0.440651312
"FBgn0031377",3,3.5,-0.444132043
"FBgn0037297",13,4.88,-0.445772371
"FBgn0050156",8,3.775,-0.447259925
"FBgn0000043",12,3.776666667,-0.448282646
"FBgn0037347",8,3.495,-0.451242791
"FBgn0037046",3,4.613333333,-0.453200956
"FBgn0032901",7,3.454285714,-0.454184577
"FBgn0086768",5,3.68,-0.458955833
"FBgn0035440",5,4.74,-0.465515801
"FBgn0050460",3,3.826666667,-0.477418841
"FBgn0035248",3,3.7425,-0.477530405
"FBgn0036991",3,5.85,-0.480351856
"FBgn0031239",6,4.853333333,-0.482811994
"FBgn0037309",14,4.7625,-0.483728793
"FBgn0031224",12,3.5675,-0.486457207
"FBgn0261436",18,4.645625,-0.49152059
"FBgn0038431",7,3.557142857,-0.49379232
"FBgn0031286",14,3.62,-0.49533602
"FBgn0035415",4,3.5,-0.496138726
"FBgn0037435",6,4.716666667,-0.498438298
"FBgn0020622",10,4.48,-0.500056855
"FBgn0035678",25,3.993333333,-0.501992761
"FBgn0033520",4,4.44,-0.502049103
"FBgn0053107",15,6.724,-0.504471964
"FBgn0031251",13,4.2,-0.505087213
"FBgn0004603",3,3.646666667,-0.505546339
"FBgn0035923",5,3.66,-0.507602148
"FBgn0053229",15,3.692222222,-0.516126344
"FBgn0261429",12,4.764166667,-0.516267352
"FBgn0036988",13,4.833333333,-0.517006258
"FBgn0033373",5,3.448,-0.518428607
"FBgn0031238",25,4.5832,-0.518699035
"FBgn0040765",3,5.84,-0.521822569
"FBgn0010323",14,3.736428571,-0.524843299
"FBgn0085335",16,3.67,-0.532152627
"FBgn0035106",13,3.627096774,-0.538681427
"FBgn0035099",30,3.718666667,-0.540794475
"FBgn0261554",6,3.396666667,-0.542477521
"FBgn0027949",16,7,-0.542714364
"FBgn0015524",21,4.426666667,-0.543043894
"FBgn0026787",15,4.573207547,-0.543367086
"FBgn0002931",34,4.53,-0.550960364
"FBgn0002774",7,4.822857143,-0.552537694
"FBgn0010772",8,4.59,-0.552591553
"FBgn0035113",22,4.568888889,-0.552770222
"FBgn0031245",27,4.511111111,-0.553281086
"FBgn0037248",12,6.610705882,-0.556550354
"FBgn0026370",8,7.32,-0.568729005
"FBgn0262467",9,6.466666667,-0.573817928
"FBgn0051522",3,7.48,-0.573826777
"FBgn0033062",9,3.575555556,-0.575438654
"FBgn0262867",7,3.742857143,-0.577751766
"FBgn0003557",9,4.582222222,-0.579769464
"FBgn0027786",12,5.704545455,-0.580497249
"FBgn0010453",16,3.653333333,-0.582057357
"FBgn0034726",5,4.52,-0.584869095
"FBgn0032154",5,5.464,-0.592045127
"FBgn0052476",6,3.646666667,-0.596844353
"FBgn0016054",6,3.69,-0.599653902
"FBgn0035270",3,3.5,-0.601290495
"FBgn0031359",7,4.401428571,-0.607920468
"FBgn0037301",12,4.873333333,-0.610560313
"FBgn0037391",8,5.9325,-0.612554689
"FBgn0034542",22,6.993333333,-0.616306316
"FBgn0035147",16,3.58,-0.616903446
"FBgn0031574",4,5.665,-0.617958569
"FBgn0086695",9,3.633333333,-0.61910716
"FBgn0027930",3,3.53375,-0.621437031
"FBgn0037250",8,4.619655172,-0.621441965
"FBgn0025525",12,3.67,-0.625391839
"FBgn0259818",29,4.535897436,-0.627515344
"FBgn0011817",4,3.48,-0.630044885
"FBgn0037921",12,3.79,-0.632049336
"FBgn0010313",6,3.913333333,-0.632279222
"FBgn0026309",5,4.904,-0.635307427
"FBgn0031287",10,4.562,-0.639266852
"FBgn0037342",7,5.511428571,-0.643507448
"FBgn0031344",12,6.621666667,-0.645515768
"FBgn0011297",3,5.82,-0.648553039
"FBgn0031321",9,5.544444444,-0.650930066
"FBgn0010438",15,6.792,-0.651102732
"FBgn0052343",8,4.525,-0.653897494
"FBgn0033913",9,3.765,-0.655923105
"FBgn0031265",7,3.817142857,-0.656080412
"FBgn0261434",16,3.604285714,-0.65898459
"FBgn0037293",18,3.624444444,-0.660505712
"FBgn0037242",29,4.607096774,-0.66156729
"FBgn0037364",12,5.611666667,-0.662291284
"FBgn0035235",15,5.6,-0.663244897
"FBgn0013576",18,4.57,-0.669032511
"FBgn0035285",18,4.64,-0.670125181
"FBgn0020304",15,3.564,-0.671810393
"FBgn0024326",8,3.735,-0.672686695
"FBgn0051211",4,3.72,-0.675132835
"FBgn0033884",11,3.645,-0.67594709
"FBgn0037371",13,3.966666667,-0.682873825
"FBgn0011656",6,3.453333333,-0.687690316
"FBgn0039210",3,4.02,-0.690167497
"FBgn0032489",4,7.32,-0.691593977
"FBgn0002522",11,6.585454545,-0.692279013
"FBgn0027597",6,3.63,-0.692942131
"FBgn0033890",4,3.855,-0.69326666
"FBgn0036999",10,5.973333333,-0.698115838
"FBgn0035205",11,3.549090909,-0.703296707
"FBgn0035267",10,3.538,-0.706721145
"FBgn0037025",14,3.53,-0.707168327
"FBgn0033038",11,3.570909091,-0.70868432
"FBgn0259823",3,3.933333333,-0.709723579
"FBgn0035101",12,4.643,-0.709880004
"FBgn0035229",11,4.621818182,-0.71019598
"FBgn0035158",3,5.82,-0.711118866
"FBgn0035264",7,6.662857143,-0.717660105
"FBgn0004635",11,6.716,-0.720772849
"FBgn0031304",13,4.286153846,-0.722277601
"FBgn0025725",5,3.784,-0.727460437
"FBgn0261243",10,5.9,-0.732894313
"FBgn0028563",8,4.66,-0.733777319
"FBgn0050431",7,3.748571429,-0.735626211
"FBgn0264694",13,6.66,-0.739025111
"FBgn0037279",6,5.496666667,-0.739433429
"FBgn0262109",15,4.692222222,-0.745053142
"FBgn0035145",10,5.53,-0.751983612
"FBgn0037261",11,5.687272727,-0.757835623
"FBgn0002543",6,3.556666667,-0.761549999
"FBgn0035237",7,4.54,-0.767125179
"FBgn0262624",15,7.42,-0.771179094
"FBgn0031250",13,3.580769231,-0.775404889
"FBgn0010228",5,4.956,-0.775858182
"FBgn0039189",8,5.786666667,-0.776057465
"FBgn0039348",13,3.586666667,-0.776488033
"FBgn0031379",15,4.688,-0.785565494
"FBgn0029095",12,5.643333333,-0.787145406
"FBgn0020257",5,4.536,-0.796700962
"FBgn0051638",8,4.29,-0.799325691
"FBgn0026179",13,3.946666667,-0.799616066
"FBgn0264707",5,3.76,-0.801592337
"FBgn0037439",4,3.675,-0.803413538
"FBgn0011704",5,3.972,-0.807101534
"FBgn0037633",19,4.857777778,-0.811379998
"FBgn0053526",12,4.455,-0.817077518
"FBgn0028789",13,4.706666667,-0.827944157
"FBgn0023214",6,7.006666667,-0.828708441
