Gene_Name,Number_of_binding_site,Strenght_of_binding,Expression_covariation
FBgn0011227,3,6.696666667,-0.015078717
FBgn0037330,4,7.29,-0.019565523
FBgn0263144,3,6.09,-0.020539784
FBgn0010520,3,6.09,-0.023973585
FBgn0011695,3,6.393333333,-0.029146533
FBgn0010288,4,6.69,-0.038564266
FBgn0001125,3,6.89,-0.042457765
FBgn0033039,8,6.85875,-0.044322348
FBgn0026427,5,6.09,-0.044941175
FBgn0262970,4,6.39,-0.046454885
FBgn0041097,9,6.292222222,-0.048378951
FBgn0037377,6,6.09,-0.055769118
FBgn0039859,4,6.09,-0.056369635
FBgn0020305,6,6.896666667,-0.061042577
FBgn0037263,13,6.238461538,-0.061869855
FBgn0032642,3,7.096666667,-0.062558427
FBgn0025676,9,6.797777778,-0.063038597
FBgn0035199,6,6.841666667,-0.063373
FBgn0052311,7,6.064285714,-0.068588048
FBgn0053002,3,6.49,-0.069707509
FBgn0067864,5,6.774,-0.070996645
FBgn0036196,6,6,-0.074430155
FBgn0037282,10,6.585,-0.076520887
FBgn0259979,3,6.696666667,-0.078108479
FBgn0034919,5,6.09,-0.07998876
FBgn0037328,6,6.793333333,-0.08266202
FBgn0037611,3,6.09,-0.084715244
FBgn0024947,3,6.393333333,-0.089034753
FBgn0032925,3,7,-0.09087148
FBgn0035169,3,6.393333333,-0.095347148
FBgn0031738,4,6.545,-0.096730216
FBgn0031881,5,6.09,-0.097278978
FBgn0040465,5,6.09,-0.099749702
FBgn0032729,3,6.696666667,-0.104049213
FBgn0002622,3,7,-0.107635521
FBgn0261403,3,6.096666667,-0.112634628
FBgn0031296,8,7.2175,-0.11473961
FBgn0086358,3,6.09,-0.117005049
FBgn0086758,3,6.89,-0.117910346
FBgn0033431,5,6.752,-0.118567331
FBgn0031281,6,6.49,-0.118605848
FBgn0039229,4,6.09,-0.122526492
FBgn0015522,5,6.09,-0.122730193
FBgn0001222,3,6.09,-0.129203419
FBgn0036336,4,6.545,-0.129736824
FBgn0003444,10,7.112,-0.138034249
FBgn0031260,7,6.261428571,-0.145653383
FBgn0032922,3,7,-0.147935342
FBgn0033339,4,6.09,-0.149133652
FBgn0033033,4,6.7725,-0.157583469
FBgn0037875,3,7.29,-0.176977876
FBgn0036106,3,6.43,-0.180564346
FBgn0024912,5,7.116,-0.180779078
FBgn0026372,10,6.21,-0.184907997
FBgn0003076,4,6.39,-0.185340516
FBgn0019644,5,6.09,-0.186790827
FBgn0019960,4,6.09,-0.189004079
FBgn0052163,3,6.09,-0.189431272
FBgn0031309,3,7.29,-0.190279231
FBgn0035194,6,6.441666667,-0.190700784
FBgn0039528,3,6.09,-0.190721617
FBgn0033427,3,6.393333333,-0.192843828
FBgn0013305,3,6.09,-0.195245714
FBgn0260862,4,6.09,-0.199531567
FBgn0037350,4,7.0725,-0.210292445
FBgn0051658,6,7.096666667,-0.21399914
FBgn0262169,5,7.116,-0.226869056
FBgn0031820,3,6.096666667,-0.229208601
FBgn0037270,6,6.393333333,-0.234027275
FBgn0037009,5,6.636,-0.234042714
FBgn0261286,5,6.534,-0.234434473
FBgn0035159,5,6,-0.238883593
FBgn0037299,6,6.475,-0.243388747
FBgn0035254,5,7.174,-0.248849364
FBgn0259212,5,6.934,-0.252118793
FBgn0020248,7,6.495714286,-0.256454
FBgn0032723,3,7,-0.257003074
FBgn0011715,4,6.845,-0.258309205
FBgn0037082,3,6.09,-0.260579783
FBgn0035173,4,7.2175,-0.266187137
FBgn0051875,3,6.09,-0.267472261
FBgn0036298,3,7.29,-0.270603122
FBgn0033052,4,6.99,-0.274063464
FBgn0035251,7,6.651428571,-0.276178311
FBgn0028646,5,6.072,-0.2828439
FBgn0031270,6,7.193333333,-0.288273477
FBgn0033010,4,7.29,-0.290802086
FBgn0036332,4,6.545,-0.292166632
FBgn0039862,4,6.09,-0.297397274
FBgn0031398,4,6.69,-0.303513985
FBgn0039126,3,7.29,-0.316029643
FBgn0032997,8,6.6475,-0.320412857
FBgn0261553,4,6.09,-0.324985191
FBgn0017457,4,6.045,-0.331686769
FBgn0037336,3,6.06,-0.332263193
FBgn0040466,4,6.545,-0.333175359
FBgn0026738,3,6.793333333,-0.339219617
FBgn0035906,4,6.09,-0.343327161
FBgn0250830,4,7,-0.345668524
FBgn0003165,3,6.393333333,-0.351767463
FBgn0036640,3,6.09,-0.356128042
FBgn0263490,4,6.09,-0.357758759
FBgn0017550,4,6.545,-0.35891768
FBgn0037358,3,6.89,-0.359965962
FBgn0004436,6,6.793333333,-0.364623343
FBgn0010704,4,6.6175,-0.365542135
FBgn0004373,9,6.292222222,-0.370690388
FBgn0016119,3,6.393333333,-0.372958987
FBgn0035204,9,6.415555556,-0.373136126
FBgn0037920,3,7.29,-0.374653289
FBgn0010355,6,6.49,-0.381631767
FBgn0039305,3,7.096666667,-0.381943249
FBgn0036801,4,6,-0.393359418
FBgn0033348,4,6,-0.393868368
FBgn0031374,3,6.09,-0.397493053
FBgn0033015,7,6.521428571,-0.402125241
FBgn0033000,4,6.99,-0.410701562
FBgn0035471,4,6.09,-0.410900119
FBgn0000261,4,6.09,-0.411759715
FBgn0043841,3,6.09,-0.417117976
FBgn0264712,5,6.454,-0.419720476
FBgn0052479,6,6.778333333,-0.421888658
FBgn0085229,3,6.86,-0.429289784
FBgn0024510,11,6.174545455,-0.429329935
FBgn0031401,4,6.69,-0.448566181
FBgn0051755,3,6.09,-0.452815785
FBgn0035166,3,6.393333333,-0.45469798
FBgn0031360,5,7.116,-0.455301731
FBgn0031741,4,6.545,-0.457123022
FBgn0036641,3,6.09,-0.458920215
FBgn0001974,3,6.696666667,-0.464969103
FBgn0023000,3,6.89,-0.467001543
FBgn0035151,3,6.09,-0.46739647
FBgn0040239,4,6.09,-0.473720303
FBgn0035420,3,6.696666667,-0.475163304
FBgn0036191,4,6.09,-0.48481001
FBgn0250785,4,7.145,-0.487931325
FBgn0260755,9,6.692222222,-0.490242911
FBgn0038739,4,6.09,-0.492924629
FBgn0028436,3,6.09,-0.496258896
FBgn0046247,3,6.29,-0.503966031
FBgn0261387,4,6.99,-0.50411815
FBgn0031247,6,6.393333333,-0.509395433
FBgn0026566,3,6.696666667,-0.510346635
FBgn0003502,3,6.49,-0.512840418
FBgn0031381,3,7.29,-0.515726428
FBgn0035165,7,6.35,-0.515889389
FBgn0010333,9,6.692222222,-0.517890812
FBgn0037312,12,6.5675,-0.51846495
FBgn0086912,12,6.926666667,-0.518906444
FBgn0261938,3,6.06,-0.528817203
FBgn0031310,5,6.934,-0.53797337
FBgn0039994,5,6.09,-0.540548672
FBgn0053145,5,7,-0.542671095
FBgn0040005,6,6.641666667,-0.546255621
FBgn0038551,3,6.49,-0.547168945
FBgn0086130,6,7.096666667,-0.549839798
FBgn0250746,3,6.09,-0.550139885
FBgn0027539,4,6.09,-0.5556579
FBgn0027507,3,7.193333333,-0.556475257
FBgn0051360,5,6.454,-0.577959842
FBgn0032475,3,6.09,-0.579393491
FBgn0028499,4,6.09,-0.58021428
FBgn0001150,9,6.847777778,-0.580768837
FBgn0035238,13,6.083076923,-0.581647102
FBgn0259978,3,6.696666667,-0.589362634
FBgn0037218,13,6.566153846,-0.592822862
FBgn0036511,4,6.09,-0.593625961
FBgn0031284,5,6.934,-0.59408586
FBgn0004611,6,6.393333333,-0.59572403
FBgn0002781,4,6.09,-0.596062943
FBgn0035589,3,6.09,-0.597080027
FBgn0038149,3,6.09,-0.599861484
FBgn0032724,3,7,-0.600291405
FBgn0013732,3,7,-0.601888933
FBgn0002673,4,6.895,-0.602344496
FBgn0043458,11,6.255454545,-0.608230914
FBgn0037327,8,6.6175,-0.608244345
FBgn0259247,4,6.0675,-0.609053261
FBgn0031244,7,6.61,-0.614975308
FBgn0034948,3,6.09,-0.616762328
FBgn0033663,3,6.09,-0.624116661
FBgn0026238,5,6.534,-0.626713148
FBgn0026570,6,6.09,-0.631189927
FBgn0003138,9,6.47,-0.632949505
FBgn0011204,6,6.793333333,-0.636456195
FBgn0020545,11,6.338181818,-0.636666408
FBgn0001320,4,6.045,-0.651040109
FBgn0036484,4,6.545,-0.661435174
FBgn0044823,4,6.0725,-0.672901422
FBgn0000071,10,6.363,-0.67900087
FBgn0052425,3,6.09,-0.682109443
FBgn0035207,12,6.334166667,-0.720264142
