Gene_Name,Number_of_binding_site,Strenght_of_binding,Expression_covariation
FBgn0053635,17,7.116666667,0.153662057
FBgn0086758,5,6.802,0.153583263
FBgn0004878,3,6.57,0.15246913
FBgn0027570,8,7.4375,0.143155915
FBgn0035181,5,7.452,0.142374088
FBgn0037231,18,7.312,0.138837279
FBgn0051658,4,7.655,0.135912689
FBgn0035164,3,7.646666667,0.134581777
FBgn0043364,7,6.97,0.126735269
FBgn0035103,15,7.122666667,0.124803261
FBgn0037416,3,7.666666667,0.122769528
FBgn0035308,3,8.363333333,0.119975834
FBgn0051559,6,6.745,0.108170517
FBgn0037228,10,7.183225806,0.107143669
FBgn0003444,18,7.487777778,0.104003165
FBgn0037429,4,6.71,0.102962554
FBgn0028675,3,7.08,0.101020431
FBgn0027111,6,7.273333333,0.098371841
FBgn0024958,3,6.68,0.088454865
FBgn0037235,10,7.304090909,0.088249291
FBgn0010225,20,7.278571429,0.08561091
FBgn0037225,18,6.816,0.084721358
FBgn0053002,3,6.213333333,0.083618783
FBgn0035211,3,6.716666667,0.080317752
FBgn0031952,3,6.286666667,0.078462095
FBgn0035287,6,7.496666667,0.078184864
FBgn0001202,4,7.535,0.076369285
FBgn0003882,11,6.946470588,0.075344525
FBgn0037217,9,7.277592593,0.072930517
FBgn0052944,16,6.930625,0.072376126
FBgn0031384,5,6.5,0.072282585
FBgn0037224,10,6.762083333,0.069255463
FBgn0000497,4,6.985,0.067032149
FBgn0052311,7,6.708571429,0.066726945
FBgn0038407,3,7.38,0.057082306
FBgn0033872,4,7.095,0.05430555
FBgn0024806,9,6.727777778,0.053808233
FBgn0035122,5,6.796,0.050500414
FBgn0025712,6,6.383333333,0.049688794
FBgn0031281,4,7.96,0.044706564
FBgn0263102,3,6.503333333,0.044533018
FBgn0024945,19,6.9424,0.044454301
FBgn0033377,4,6.55,0.037219051
FBgn0035232,5,6.48,0.027087945
FBgn0051973,17,7.248648649,0.026053404
FBgn0037338,6,7.013333333,0.023195451
FBgn0004777,15,7.278666667,0.021348319
FBgn0035189,9,7.252222222,0.021150406
FBgn0261800,3,6.573333333,0.015697644
FBgn0024912,8,7.7825,0.010536809
FBgn0013342,8,6.9675,0.008297576
FBgn0020270,5,6.756,0.007691799
FBgn0035194,13,7.261538462,0.007169781
FBgn0051522,11,7.141818182,0.006404763
FBgn0260795,4,6.2825,0.002530868
FBgn0263144,6,6.626666667,0.000764801
FBgn0037215,9,7.020704225,0.000152781
FBgn0037282,9,6.571111111,-0.004119255
FBgn0035147,5,6.814,-0.005824375
FBgn0053096,4,6.74,-0.006842019
FBgn0020622,8,7.14625,-0.006879753
FBgn0035325,4,6.565,-0.010961454
FBgn0031245,6,7.481666667,-0.012542594
FBgn0031398,9,7.006666667,-0.014291763
FBgn0037263,9,7.294444444,-0.014304468
FBgn0085453,3,6.476666667,-0.014404639
FBgn0016977,20,7.3392,-0.014662445
FBgn0010812,3,6.59,-0.017446869
FBgn0037241,17,6.820833333,-0.022454302
FBgn0263346,8,7.7425,-0.024474352
FBgn0035271,3,6.963333333,-0.025870304
FBgn0037230,19,7.101944444,-0.028400156
FBgn0027951,4,7.48,-0.030899814
FBgn0025592,10,7.412857143,-0.033255377
FBgn0260794,7,6.732857143,-0.034422374
FBgn0004378,8,6.96875,-0.03683079
FBgn0051100,3,8.363333333,-0.041138591
FBgn0052068,4,7.075,-0.041162813
FBgn0004603,3,6.76,-0.041245878
FBgn0000633,4,6.385,-0.044844787
FBgn0025525,5,6.692,-0.049155719
FBgn0010288,9,6.74,-0.050682952
FBgn0037435,4,6.83,-0.051979322
FBgn0015331,13,7.123191489,-0.052395193
FBgn0037248,14,7.120930233,-0.052729868
FBgn0031261,6,7.171666667,-0.053523908
FBgn0035298,6,6.831666667,-0.053640843
FBgn0041605,19,6.937916667,-0.055811557
FBgn0035253,5,8.852,-0.05777961
FBgn0037249,16,6.744166667,-0.058210212
FBgn0250789,10,6.915,-0.06228829
FBgn0085271,3,7.246666667,-0.062460787
FBgn0017457,7,7.11,-0.08147154
FBgn0032869,3,7.013333333,-0.08619563
FBgn0085203,4,6.71,-0.089928432
FBgn0037347,9,6.33,-0.092563235
FBgn0052475,18,7.135792507,-0.093374513
FBgn0004870,4,6.3425,-0.093712955
FBgn0015524,4,6.835,-0.096069144
FBgn0000043,6,6.77,-0.096661633
FBgn0032924,3,6.85,-0.101283974
FBgn0025725,4,6.525,-0.102892518
FBgn0035169,5,7.144,-0.103666907
FBgn0037242,12,7.001212121,-0.108860291
FBgn0037359,3,6.603333333,-0.110513416
FBgn0029514,4,8.155,-0.114946204
FBgn0027094,3,8.706666667,-0.117452975
FBgn0031216,20,7.113636364,-0.119157617
FBgn0261562,7,6.818571429,-0.125259087
FBgn0026427,4,6.635,-0.128554038
FBgn0031229,18,6.992857143,-0.129787705
FBgn0053554,4,6.66,-0.130167448
FBgn0035268,7,6.578571429,-0.134099977
FBgn0085193,3,7.306666667,-0.139257749
FBgn0028952,3,6.546666667,-0.142064709
FBgn0026787,17,7.044324324,-0.143383015
FBgn0000576,3,6.576666667,-0.146175135
FBgn0034542,3,6.43,-0.147386453
FBgn0032321,3,7.556666667,-0.149316513
FBgn0027866,20,7.24025641,-0.156978685
FBgn0042693,4,7.74,-0.158212781
FBgn0082585,3,8.426666667,-0.161220154
FBgn0015905,6,7.556666667,-0.168629894
FBgn0035254,6,6.845,-0.171965421
FBgn0020305,3,6.713333333,-0.174094223
FBgn0085335,5,6.61,-0.176972614
FBgn0035099,15,7.002444444,-0.192486006
FBgn0039274,3,7.573333333,-0.193826421
FBgn0004396,4,7.83,-0.201968484
FBgn0031304,7,7.278571429,-0.202927612
FBgn0035264,7,7.365714286,-0.206510382
FBgn0029095,8,7.1225,-0.208665198
FBgn0033431,3,7.046666667,-0.209463337
FBgn0050502,4,7.56,-0.210371297
FBgn0031459,4,7.02,-0.213567387
FBgn0051974,13,7.011521739,-0.216277323
FBgn0031286,4,6.3425,-0.216703773
FBgn0031227,11,7.81,-0.222147227
FBgn0031711,3,6.98,-0.22422516
FBgn0031294,3,6.493333333,-0.224641419
FBgn0262647,3,6.203333333,-0.226592403
FBgn0037818,3,6.386666667,-0.227534186
FBgn0037364,9,6.784444444,-0.228563789
FBgn0010583,4,7.035,-0.23311936
FBgn0003118,3,7.2,-0.239399936
FBgn0053229,15,7.121,-0.241748372
FBgn0034217,3,6.663333333,-0.24198587
FBgn0035266,8,7.23375,-0.242610349
FBgn0039508,3,6.303333333,-0.243291465
FBgn0031403,5,7.396,-0.244784723
FBgn0037391,4,6.5,-0.250522964
FBgn0037279,7,7.322857143,-0.256924129
FBgn0261434,20,7.159230769,-0.264772144
FBgn0050431,6,7.77,-0.274467038
FBgn0035106,10,6.833448276,-0.275442032
FBgn0031251,6,7.45,-0.276296317
FBgn0260011,4,6.96,-0.276741806
FBgn0002774,6,6.585,-0.28089244
FBgn0032871,4,7.14,-0.281765175
FBgn0003557,3,6.833333333,-0.283235124
FBgn0038660,3,6.446666667,-0.283723785
FBgn0002872,3,6.68,-0.289607053
FBgn0039538,3,6.496666667,-0.291203996
FBgn0053095,6,7.29,-0.293670481
FBgn0031228,11,6.948,-0.294780326
FBgn0035101,17,7.076666667,-0.296229065
FBgn0033049,8,7.3425,-0.29717098
FBgn0027594,5,7.026,-0.297362954
FBgn0035233,8,6.60875,-0.298123315
FBgn0002121,18,6.946868687,-0.303113429
FBgn0031631,3,6.84,-0.306344689
FBgn0038619,3,6.34,-0.30643199
FBgn0026239,3,6.603333333,-0.307410799
FBgn0033636,3,6.306666667,-0.310208559
FBgn0261109,3,7.15,-0.314335237
FBgn0033029,4,6.7,-0.314802419
FBgn0000071,11,7.445454545,-0.314961669
FBgn0035249,4,6.525,-0.316395753
FBgn0037309,3,7.553333333,-0.31703604
FBgn0010750,3,7.65,-0.321918412
FBgn0261436,15,7.156086957,-0.323447018
FBgn0027930,20,7.053636364,-0.326003435
FBgn0037220,17,6.960512821,-0.334177754
FBgn0024352,3,8.566666667,-0.336844921
FBgn0003261,3,6.64,-0.339226149
FBgn0037446,4,6.5175,-0.342419185
FBgn0038454,3,6.85,-0.348742355
FBgn0000109,6,7.545,-0.349223393
FBgn0013759,3,7.743333333,-0.350707485
FBgn0027786,13,7.070425532,-0.356721376
FBgn0035152,3,6.436666667,-0.359907697
FBgn0004635,16,6.509375,-0.360900717
FBgn0260756,10,6.475,-0.361326074
FBgn0035235,6,8.136666667,-0.362167736
FBgn0037262,9,7.294444444,-0.362687512
FBgn0010772,3,6.54,-0.364106764
FBgn0031299,3,6.413333333,-0.364505814
FBgn0037297,12,6.936666667,-0.364881725
FBgn0035751,4,6.265,-0.37127961
FBgn0035162,5,6.348,-0.379238007
FBgn0050287,3,6.693333333,-0.380624805
FBgn0028398,4,6.95,-0.382295884
FBgn0052103,3,6.883333333,-0.383943504
FBgn0039404,3,6.666666667,-0.387817061
FBgn0062517,3,6.24,-0.389096351
FBgn0037571,4,7.565,-0.393227199
FBgn0031611,3,6.213333333,-0.395201938
FBgn0010323,4,7.1025,-0.401869268
FBgn0031282,3,7.323333333,-0.403167645
FBgn0035120,3,6.58,-0.40363865
FBgn0035229,4,6.585,-0.405291045
FBgn0259818,20,7.216451613,-0.40601464
FBgn0053526,8,7.0975,-0.407396092
FBgn0029114,3,6.923333333,-0.410335781
FBgn0035285,9,8.111111111,-0.413210116
FBgn0035110,17,7.169230769,-0.420374009
FBgn0035228,3,7.713333333,-0.427933049
FBgn0022981,6,6.815,-0.432370195
FBgn0035262,3,7.433333333,-0.432887703
FBgn0035440,3,6.18,-0.433973392
FBgn0035270,4,6.9775,-0.441280757
FBgn0028577,4,6.64,-0.442751916
FBgn0014366,3,6.933333333,-0.446106223
FBgn0035248,3,6.773333333,-0.449948957
FBgn0031399,9,6.893333333,-0.451263174
FBgn0031253,4,8.33,-0.45497686
FBgn0000577,4,6.54,-0.460509309
FBgn0031224,19,6.976857143,-0.461493375
FBgn0035318,5,7.012,-0.468109631
FBgn0262109,16,7.121,-0.470876497
FBgn0032358,3,7.026666667,-0.474257652
FBgn0261429,6,7.655,-0.476813461
FBgn0046222,11,7.504545455,-0.476959421
FBgn0035227,4,7.0475,-0.479599972
FBgn0011336,3,7.573333333,-0.491158227
FBgn0051032,3,6.77,-0.503545524
FBgn0038989,4,6.815,-0.509580338
FBgn0031344,10,7.102,-0.511518037
FBgn0002183,3,7.023333333,-0.511780555
FBgn0002522,11,6.848181818,-0.514577423
FBgn0032036,4,7.415,-0.51558043
FBgn0035205,7,6.887142857,-0.517877961
FBgn0026402,3,6.19,-0.518455487
FBgn0033038,5,7.7,-0.518482364
FBgn0031287,3,6.59,-0.522080086
FBgn0037372,3,6.666666667,-0.524292108
FBgn0001077,7,6.865714286,-0.52610762
FBgn0264326,4,7.94,-0.526837669
FBgn0037301,5,6.97,-0.527411466
FBgn0038665,3,6.603333333,-0.530175562
FBgn0016684,3,6.503333333,-0.530571207
FBgn0004926,3,7.246666667,-0.536854736
FBgn0037293,6,7.3,-0.540925552
FBgn0035267,6,6.593333333,-0.542456933
FBgn0003117,3,6.653333333,-0.550188048
FBgn0260750,3,6.286666667,-0.552637317
FBgn0052343,3,6.403333333,-0.556270941
FBgn0035137,3,7.35,-0.564221649
FBgn0015621,5,7.638,-0.567106463
FBgn0037633,3,7.036666667,-0.569783153
FBgn0037250,14,7.098139535,-0.570766631
FBgn0035236,4,8.1425,-0.572023525
FBgn0003448,5,6.828,0.572306891
FBgn0031321,5,7.148,-0.580812211
FBgn0035145,6,6.958333333,-0.583713401
FBgn0036516,3,6.923333333,-0.58421009
FBgn0015296,3,8.033333333,-0.585172399
FBgn0035195,3,6.163333333,-0.586363185
FBgn0003687,4,6.405,-0.587696688
FBgn0033062,11,6.741818182,-0.593005878
FBgn0020304,9,6.698888889,-0.595541273
FBgn0038666,3,7.396666667,-0.595877471
FBgn0037371,4,6.37,-0.597053371
FBgn0037360,6,7.575,-0.601890889
FBgn0013755,5,6.368,-0.610581514
FBgn0031250,11,6.582727273,-0.614712108
FBgn0037329,11,6.89,-0.617873868
FBgn0035113,20,6.980769231,-0.618073158
FBgn0035113,20,7.31,-0.618504688
FBgn0035113,6,6.980769231,-0.618073158
FBgn0035113,6,7.31,-0.618504688
FBgn0034050,3,6.263333333,-0.618916737
FBgn0035272,3,6.44,-0.624423607
FBgn0003430,3,6.706666667,-0.628788416
FBgn0034214,3,6.69,-0.632106304
FBgn0031252,4,8.33,-0.632283085
FBgn0031238,14,7.435714286,-0.636236327
FBgn0083123,3,6.986666667,-0.638065792
FBgn0034655,5,7.136,-0.63916674
FBgn0262624,8,6.655,-0.639411104
FBgn0037213,19,7.066779923,-0.648310733
FBgn0004636,5,6.932,-0.649654978
FBgn0031285,3,7.906666667,-0.65914024
FBgn0003525,3,7.576666667,-0.670487591
FBgn0038332,3,6.953333333,-0.670655778
FBgn0003002,7,6.72,-0.685131588
FBgn0038722,3,6.57,-0.688515975
FBgn0035315,4,6.82,-0.738934469
FBgn0021776,3,7.666666667,-0.765827845
FBgn0002931,20,7.2745,-0.791533587
FBgn0086695,5,7.304,-0.815628404
