Gene_Name,Number_of_binding_site,Strenght_of_binding,Expression_covariation
FBgn0031377,13,3.53,-0.444132043
FBgn0027554,13,3.5,0.321217877
FBgn0035254,13,3.5,0.113935315
FBgn0037263,13,3.5,0.112886078
FBgn0031213,13,3.48,0.784880595
FBgn0037369,13,3.48,0.023183439
FBgn0037244,13,3.48,0.261255815
FBgn0025676,13,3.48,0.185123652
FBgn0004872,12,5.84,0.402835376
FBgn0032811,12,4.74,-0.106294389
FBgn0035247,12,4.07,0.335424051
FBgn0067864,12,3.93,0.381332459
FBgn0259212,12,3.5,0.380935135
FBgn0024889,11,8.69,0.944039745
FBgn0040237,11,7.94,0.808179996
FBgn0031549,11,5.73,-0.801561885
FBgn0264711,11,5.2,-0.531700176
FBgn0262970,11,4.5,0.027836669
FBgn0264574,11,4.2,0.437190314
FBgn0016715,11,4.2,-0.073078203
FBgn0085229,11,4.02,0.417155767
FBgn0027786,11,3.93,-0.580497249
FBgn0002522,11,3.64,-0.692279013
FBgn0031270,11,3.55,0.270039874
FBgn0010602,11,3.55,0.128537
FBgn0031379,11,3.53,-0.785565494
FBgn0035113,11,3.5,-0.552770222
FBgn0037232,11,3.48,0.737487845
FBgn0041605,11,3.48,-0.30786663
FBgn0031251,11,3.48,-0.505087213
FBgn0264712,10,9.5,0.810925515
FBgn0024945,10,8.48,0.380958207
FBgn0031631,10,4.69,-0.033098616
FBgn0013342,10,4.07,-0.245405042
FBgn0033005,10,4.03,0.813920036
FBgn0031360,10,4.03,0.673017839
FBgn0024806,10,4.02,0.008597242
FBgn0031359,10,4.02,-0.607920468
FBgn0035266,10,3.5,-0.296009453
FBgn0035285,10,3.5,-0.670125181
FBgn0037252,10,3.48,0.84660979
FBgn0027866,10,3.48,0.249334456
FBgn0039764,10,3.48,0.209500851
FBgn0028690,10,3.48,-0.766530637
FBgn0262110,9,8.55,0.758603128
FBgn0035318,9,4.74,-0.228833289
FBgn0041161,9,4.44,-0.734426679
FBgn0026179,9,4.29,-0.799616066
FBgn0031344,9,4.07,-0.645515768
FBgn0026372,9,3.98,0.278814758
FBgn0015360,9,3.53,0.936690161
FBgn0035205,9,3.53,-0.703296707
FBgn0037262,9,3.5,-0.174240958
FBgn0031252,9,3.5,-0.431615997
FBgn0035110,9,3.48,-0.107226395
FBgn0010772,9,3.48,-0.552591553
FBgn0035235,9,3.48,-0.663244897
FBgn0262126,8,4.93,-0.413202412
FBgn0033039,8,4.02,0.422511228
FBgn0024912,8,4.02,0.257905112
FBgn0035270,8,3.93,-0.601290495
FBgn0031321,8,3.66,-0.650930066
FBgn0031384,8,3.5,-0.069611795
FBgn0039588,8,3.5,-0.169879868
FBgn0031253,8,3.5,-0.219175303
FBgn0035325,8,3.5,-0.33691558
FBgn0031374,8,3.48,0.493747928
FBgn0035251,8,3.48,0.357075042
FBgn0037225,8,3.48,-0.202626636
FBgn0037217,8,3.48,-0.219180865
FBgn0037224,8,3.48,-0.248644341
FBgn0037328,7,4.15,0.177686421
FBgn0029514,7,4.12,-0.005775463
FBgn0031245,7,4.07,-0.553281086
FBgn0046247,7,4.03,0.747129624
FBgn0020248,7,3.93,0.31213163
FBgn0039654,7,3.93,-0.196014629
FBgn0035103,7,3.93,-0.391010385
FBgn0027497,7,3.64,-0.517303303
FBgn0000543,7,3.53,-0.557701771
FBgn0035164,7,3.5,0.285741079
FBgn0035147,7,3.5,-0.616903446
FBgn0037228,7,3.48,-0.095776279
FBgn0031228,7,3.48,-0.184373758
FBgn0037240,7,3.48,-0.19639202
FBgn0039766,7,3.48,-0.26621894
FBgn0035106,7,3.48,-0.538681427
FBgn0037213,7,3.48,-0.833559586
FBgn0003339,6,6.68,-0.64174682
FBgn0262109,6,6.5,-0.745053142
FBgn0039769,6,5.74,-0.363066388
FBgn0037678,6,5.74,-0.3672221
FBgn0027598,6,5.74,-0.833802563
FBgn0037633,6,4.92,-0.811379998
FBgn0037614,6,4.79,0.750685906
FBgn0038111,6,4.02,0.078351658
FBgn0035132,6,4.02,-0.095331537
FBgn0027597,6,4.02,-0.692942131
FBgn0037363,6,4.02,-0.706793188
FBgn0020304,6,3.64,-0.671810393
FBgn0037341,6,3.55,0.798757525
FBgn0039302,6,3.55,0.55783555
FBgn0260049,6,3.55,0.376847226
FBgn0039233,6,3.55,-0.181705336
FBgn0004378,6,3.53,-0.116097084
FBgn0027930,6,3.53,-0.621437031
FBgn0261261,6,3.5,0.193863253
FBgn0035233,6,3.5,-0.284539894
FBgn0025683,6,3.5,-0.330380793
FBgn0002543,6,3.5,-0.761549999
FBgn0016977,6,3.48,-0.130262477
FBgn0010225,6,3.48,-0.433590292
FBgn0035099,6,3.48,-0.540794475
FBgn0263933,5,8.53,0.931901337
FBgn0000464,5,6.2,0.358073399
FBgn0004369,5,5.74,-0.619471649
FBgn0037330,5,5.68,0.163227789
FBgn0037332,5,4.69,-0.110554347
FBgn0028734,5,4.2,-0.055970703
FBgn0027951,5,4.07,-0.091458969
FBgn0014342,5,4.07,-0.643300355
FBgn0264495,5,4.02,0.283756401
FBgn0040666,5,4.02,0.256233663
FBgn0032812,5,4.02,-0.228959882
FBgn0038679,5,4.02,-0.285678722
FBgn0031286,5,4.02,-0.49533602
FBgn0052476,5,4.02,-0.596844353
FBgn0260935,5,4.02,-0.601282589
FBgn0038811,5,4.02,-0.800013283
FBgn0033961,5,3.98,0.309141337
FBgn0028689,5,3.93,-0.337489477
FBgn0035264,5,3.93,-0.717660105
FBgn0019938,5,3.93,-0.763157854
FBgn0004507,5,3.66,0.684164215
FBgn0043841,5,3.64,0.380661115
FBgn0050431,5,3.53,-0.735626211
FBgn0002578,5,3.5,-0.540630527
FBgn0027111,5,3.5,-0.548413087
FBgn0037241,5,3.48,-0.009357171
FBgn0035159,5,3.48,-0.036634762
FBgn0025592,5,3.48,-0.097044513
FBgn0037215,5,3.48,-0.1858679
FBgn0027570,5,3.48,-0.317478567
FBgn0052944,5,3.48,-0.334256171
FBgn0037297,5,3.48,-0.445772371
FBgn0035101,5,3.48,-0.709880004
FBgn0260936,4,7.93,0.162976399
FBgn0020279,4,6.32,-0.078745027
FBgn0260440,4,6.07,-0.555552754
FBgn0037742,4,5.74,-0.009532173
FBgn0051004,4,5.74,-0.152171774
FBgn0037700,4,5.74,-0.395092678
FBgn0037526,4,5.74,-0.681955821
FBgn0263097,4,5.74,-0.711688534
FBgn0031261,4,5.73,-0.414498317
FBgn0031239,4,5.25,-0.482811994
FBgn0262739,4,5.11,-0.321047071
FBgn0032629,4,5.11,-0.70979634
FBgn0037920,4,4.74,0.758840646
FBgn0038968,4,4.74,-0.727614893
FBgn0033886,4,4.69,-0.289517755
FBgn0038194,4,4.69,-0.537538713
FBgn0033884,4,4.69,-0.67594709
FBgn0026630,4,4.61,-0.103154447
FBgn0001311,4,4.61,-0.34995958
FBgn0015829,4,4.61,-0.690275715
FBgn0051155,4,4.44,0.553522449
FBgn0033429,4,4.44,-0.036834681
FBgn0037998,4,4.29,-0.623436817
FBgn0259220,4,4.24,0.246469493
FBgn0035141,4,4.24,0.108084051
FBgn0031361,4,4.24,-0.275634759
FBgn0015269,4,4.2,0.29217155
FBgn0086768,4,4.2,-0.458955833
FBgn0032848,4,4.2,-0.825248054
FBgn0051550,4,4.12,-0.461830444
FBgn0023000,4,4.07,0.620522615
FBgn0033431,4,4.07,-0.09968438
FBgn0043364,4,4.07,-0.356560664
FBgn0014001,4,4.03,0.849541081
FBgn0261789,4,4.02,0.293176786
FBgn0039126,4,4.02,0.247640642
FBgn0261363,4,4.02,0.052145434
FBgn0039130,4,4.02,-0.061343387
FBgn0038407,4,4.02,-0.064099191
FBgn0032955,4,4.02,-0.139828278
FBgn0032491,4,4.02,-0.183814457
FBgn0001301,4,3.98,0.063829414
FBgn0262559,4,3.93,0.040035537
FBgn0027583,4,3.93,-0.191722406
FBgn0026320,4,3.93,-0.875591207
FBgn0022764,4,3.66,0.00888691
FBgn0036648,4,3.66,-0.297146619
FBgn0031287,4,3.64,-0.639266852
FBgn0032430,4,3.64,-0.699527713
FBgn0051559,4,3.55,-0.329013071
FBgn0010894,4,3.55,-0.37323751
FBgn0031238,4,3.55,-0.518699035
FBgn0037391,4,3.55,-0.612554689
FBgn0033038,4,3.55,-0.70868432
FBgn0035238,4,3.53,0.80285477
FBgn0034276,4,3.5,-0.511392717
FBgn0053229,4,3.5,-0.516126344
FBgn0036005,4,3.5,-0.577095564
FBgn0010313,4,3.5,-0.632279222
FBgn0035541,4,3.5,-0.810274025
FBgn0031216,4,3.48,-0.281240694
FBgn0002931,4,3.48,-0.550960364
FBgn0037609,3,10.74,0.852263434
FBgn0000447,3,10.74,0.795951562
FBgn0000158,3,10.22,0.849864353
FBgn0000250,3,9.44,0.810424355
FBgn0000317,3,8.07,0.87860594
FBgn0031634,3,7.94,-0.346940563
FBgn0262867,3,7.53,-0.577751766
FBgn0033252,3,6.98,-0.181419661
FBgn0032488,3,6.32,0.47776904
FBgn0033169,3,6.32,-0.219189922
FBgn0083123,3,5.85,-0.649080197
FBgn0038809,3,5.84,-0.301163258
FBgn0010395,3,5.84,-0.360519911
FBgn0003090,3,5.79,-0.285504765
FBgn0019990,3,5.74,0.922849107
FBgn0037656,3,5.74,0.447113812
FBgn0039601,3,5.74,0.404924713
FBgn0037913,3,5.74,0.262001795
FBgn0027509,3,5.74,-0.202954467
FBgn0037808,3,5.74,-0.423605203
FBgn0025806,3,5.68,0.297528287
FBgn0003415,3,5.59,-0.182369298
FBgn0014007,3,5.25,0.139427719
FBgn0004362,3,5.25,-0.789259733
FBgn0035978,3,5.11,0.645960821
FBgn0035980,3,5.11,0.285132575
FBgn0015402,3,5.09,0.731099673
FBgn0037339,3,4.88,0.698039398
FBgn0041191,3,4.88,-0.013396878
FBgn0026370,3,4.88,-0.568729005
FBgn0031418,3,4.79,0.296519787
FBgn0038307,3,4.74,0.301796382
FBgn0035157,3,4.44,-0.752939474
FBgn0050403,3,4.29,0.675783396
FBgn0053094,3,4.24,0.537488494
FBgn0033872,3,4.2,-0.508242884
FBgn0033437,3,4.12,-0.208123098
FBgn0035626,3,4.12,-0.413503412
FBgn0261975,3,4.11,-0.428978093
FBgn0086856,3,4.07,0.124144261
FBgn0085453,3,4.07,0.102995878
FBgn0016696,3,4.07,0.050542996
FBgn0023094,3,4.02,0.160899835
FBgn0038585,3,4.02,-0.089837167
FBgn0035424,3,4.02,-0.687651369
FBgn0035237,3,4.02,-0.767125179
FBgn0086695,3,3.98,-0.61910716
FBgn0038583,3,3.93,0.484178963
FBgn0031711,3,3.93,0.268451428
FBgn0010770,3,3.93,-0.160923382
FBgn0038674,3,3.93,-0.380956656
FBgn0004635,3,3.93,-0.720772849
FBgn0002284,3,3.66,0.738239077
FBgn0035896,3,3.66,-0.832563315
FBgn0035151,3,3.64,0.571687767
FBgn0035414,3,3.55,0.301934253
FBgn0004907,3,3.55,-0.748261888
FBgn0052485,3,3.53,0.432097036
FBgn0041582,3,3.5,0.933325592
FBgn0031265,3,3.5,-0.656080412
FBgn0027594,3,3.5,-0.697214298
FBgn0036566,3,3.48,0.806934316
FBgn0015546,3,3.48,0.443609191
FBgn0031220,3,3.48,-0.24123745
FBgn0051973,3,3.48,-0.388001081
FBgn0053107,3,3.48,-0.504471964
FBgn0026787,3,3.48,-0.543367086
FBgn0001325,10,6.93,0.630797513
