Gene_Name,Number_of_binding_site,Strenght_of_binding,Expression_covariation
FBgn0026372,9,6.575555556,0.226190761
FBgn0036298,3,6.416666667,0.223131646
FBgn0024945,8,7.153333333,0.213497563
FBgn0051658,7,6.917142857,0.207324699
FBgn0037135,4,6.81,0.20173717
FBgn0031308,3,6.586666667,0.201294571
FBgn0042712,3,7.736666667,0.191602548
FBgn0031270,11,7.185454545,0.191438796
FBgn0031296,7,6.891428571,0.185837762
FBgn0037282,4,7.255,0.178799661
FBgn0031260,8,6.79,0.17612042
FBgn0026417,5,7.724,0.157214038
FBgn0002622,3,8.69,0.154194375
FBgn0031281,4,8.77,0.147533257
FBgn0025676,9,8.43,0.143336425
FBgn0037351,6,6.958333333,0.142677947
FBgn0262116,11,7.048695652,0.142117946
FBgn0037244,11,7.048181818,0.134568898
FBgn0037231,16,8.1709375,0.133433472
FBgn0013810,4,6.81,0.114428865
FBgn0020305,3,7.143333333,0.107227859
FBgn0010288,3,7.37,0.107007696
FBgn0035159,6,6.72,0.098135983
FBgn0261363,4,7.095,0.095335802
FBgn0035194,12,7.873333333,0.080681162
FBgn0035253,5,6.854,0.079491856
FBgn0037249,16,6.95625,0.07208988
FBgn0262603,5,8.03,0.069875519
FBgn0035254,7,7.618571429,0.062205071
FBgn0035181,6,7.325,0.060965913
FBgn0010583,3,8.043333333,0.058078659
FBgn0033905,3,6.873333333,0.056295265
FBgn0263594,19,6.885263158,0.054149528
FBgn0032821,3,8.12,0.052088323
FBgn0037263,12,6.958333333,0.045965877
FBgn0032409,4,6.955,0.04456164
FBgn0263144,4,7.21,0.043305592
FBgn0262970,5,6.466,0.039636345
FBgn0024806,6,6.585,0.038806511
FBgn0031227,20,7.206,0.038281658
FBgn0033557,3,6.346666667,0.023485376
FBgn0025693,5,6.84,0.02250199
FBgn0004777,11,8.164545455,0.021942652
FBgn0035169,4,7.145,0.021254499
FBgn0037230,15,7.155277778,0.020056578
FBgn0033504,4,6.7975,0.016069066
FBgn0261596,3,7.203333333,0.014540848
FBgn0263346,8,8.3,0.012707155
FBgn0016977,8,7.0934375,0.006965745
FBgn0259704,4,6.225,0.004650677
FBgn0033060,6,7.365,0.002900262
FBgn0037228,22,7.038913043,-0.00333661
FBgn0015331,10,7.1302,-0.004533117
FBgn0032889,5,6.372,-0.011651667
FBgn0003512,3,7.096666667,-0.025171206
FBgn0032642,4,7.7875,-0.02664521
FBgn0261562,4,6.83,-0.028991593
FBgn0031229,21,6.874074074,-0.029565949
FBgn0037241,18,6.941428571,-0.030953932
FBgn0035132,6,6.37,-0.036445839
FBgn0040007,4,7.335,-0.036913637
FBgn0028481,3,6.666666667,-0.041994791
FBgn0263109,3,6.913333333,-0.055133116
FBgn0010602,7,6.591428571,-0.059632892
FBgn0037265,5,6.526,-0.068023881
FBgn0035199,10,7.509,-0.072475805
FBgn0004870,7,6.937142857,-0.074060081
FBgn0037323,4,7.3625,-0.077901079
FBgn0035162,3,6.543333333,-0.077984891
FBgn0027951,3,6.356666667,-0.080817961
FBgn0041097,7,6.982857143,-0.081538064
FBgn0053774,3,7.123333333,-0.08712955
FBgn0037225,25,6.9272,-0.088390983
FBgn0031220,22,7.096363636,-0.089838053
FBgn0035144,8,7.12875,-0.095967589
FBgn0035189,5,7.336,-0.096521174
FBgn0026577,3,6.446666667,-0.098162781
FBgn0010424,3,7.473333333,-0.098555366
FBgn0037315,3,6.703333333,-0.102916326
FBgn0035287,9,7.207777778,-0.10506023
FBgn0029514,4,7.55,-0.109224849
FBgn0004378,8,7.33625,-0.109280353
FBgn0037217,17,7.917631579,-0.113625165
FBgn0051559,5,7.758,-0.119477524
FBgn0035249,4,6.8075,-0.119988053
FBgn0035192,3,7.003333333,-0.123974509
FBgn0037240,21,7.189259259,-0.124828326
FBgn0035298,7,7.128571429,-0.130284327
FBgn0011653,3,7.44,-0.133424974
FBgn0031294,7,7.251428571,-0.134321824
FBgn0027570,3,6.816666667,-0.137097435
FBgn0031384,7,7.288571429,-0.137791769
FBgn0039045,3,8.03,-0.138796351
FBgn0052311,9,7.711111111,-0.139003822
FBgn0038679,3,6.556666667,-0.140854293
FBgn0052150,4,7.31,-0.141712021
FBgn0025683,18,7.052142857,-0.144427254
FBgn0037215,11,7.10661442,-0.145092265
FBgn0035203,8,6.99625,-0.14590788
FBgn0037416,3,6.643333333,-0.150033978
FBgn0025592,16,6.8128125,-0.155695629
FBgn0037565,3,6.31,-0.157087168
FBgn0013342,5,7.684,-0.160461713
FBgn0037220,20,7.188648649,-0.161713693
FBgn0038682,3,7.396666667,-0.171034748
FBgn0037235,25,7.17,-0.173396929
FBgn0037224,23,7.042051282,-0.176413233
FBgn0036945,3,6.33,-0.181618998
FBgn0043364,7,7.264285714,-0.182480145
FBgn0035308,3,6.326666667,-0.185759977
FBgn0037414,6,7.61,-0.187071202
FBgn0041605,17,7.079375,-0.187703693
FBgn0003261,5,7.456,-0.195356592
FBgn0260756,3,6.6,-0.195801343
FBgn0033555,3,6.346666667,-0.198224101
FBgn0036820,4,7.54,-0.199642979
FBgn0028999,3,6.51,-0.200252753
FBgn0025712,12,6.91,-0.202504263
FBgn0037083,3,7.4,-0.203423514
FBgn0039766,3,7.82,-0.203458815
FBgn0038095,4,7.55,-0.209547682
FBgn0037262,12,6.958333333,-0.211239139
FBgn0038037,3,7.8,-0.211368747
FBgn0039654,3,7.75,-0.215205783
FBgn0013755,9,6.906666667,-0.215829406
FBgn0051481,4,6.53,-0.216394193
FBgn0022981,7,6.991428571,-0.217299647
FBgn0037424,3,6.586666667,-0.218142033
FBgn0031216,19,7.170526316,-0.219840567
FBgn0052944,15,6.940666667,-0.223927954
FBgn0035110,10,7.1232,-0.227320716
FBgn0051915,4,6.71,-0.229360159
FBgn0037090,3,7.17,-0.234575542
FBgn0031228,20,6.943142857,-0.236152101
FBgn0035318,3,7.49,-0.245673867
FBgn0035122,6,6.908333333,-0.248050192
FBgn0050009,4,6.7975,-0.249225223
FBgn0000099,4,7.24,-0.250024819
FBgn0052475,11,7.177382353,-0.256035802
FBgn0031299,3,6.45,-0.258663304
FBgn0035232,5,7.032,-0.25972414
FBgn0031399,4,7.4125,-0.264759966
FBgn0037313,4,6.95,-0.268586075
FBgn0003145,5,6.694,-0.270828823
FBgn0035989,3,6.67,-0.271387171
FBgn0035233,6,7.316666667,-0.272233348
FBgn0031630,4,7.48,-0.273534017
FBgn0036354,3,8.49,-0.275036254
FBgn0032001,3,6.556666667,-0.278499464
FBgn0035103,22,7.517727273,-0.279811061
FBgn0031253,5,6.988,-0.28994897
FBgn0035268,6,7.12,-0.290440268
FBgn0051973,22,7.42875,-0.292156939
FBgn0259705,4,6.225,-0.292896975
FBgn0037360,3,7.403333333,-0.306444198
FBgn0262126,3,7.116666667,-0.309366324
FBgn0051313,3,8.333333333,-0.310693405
FBgn0014184,5,7.384,-0.324858727
FBgn0261565,6,6.996666667,-0.327739181
FBgn0031261,3,6.646666667,-0.333167933
FBgn0037297,9,7.202222222,-0.335797126
FBgn0034214,3,7.236666667,-0.336245264
FBgn0053554,3,6.786666667,-0.340681881
FBgn0031675,3,7.15,-0.343677251
FBgn0010225,16,6.903103448,-0.343907725
FBgn0039769,3,7.82,-0.34877509
FBgn0261836,3,6.643333333,-0.351924184
FBgn0261574,3,7.506666667,-0.355171655
FBgn0260795,3,7.023333333,-0.357720693
FBgn0051974,18,6.874137931,-0.357815039
FBgn0031286,5,7.638,-0.358933789
FBgn0031251,11,7.174545455,-0.361692297
FBgn0015905,6,6.975,-0.367341819
FBgn0000109,7,7.234285714,-0.373678207
FBgn0031377,4,7.3875,-0.377300011
FBgn0260794,5,6.724,-0.382365976
FBgn0037571,3,7.08,-0.384825972
FBgn0031282,4,7.1875,-0.389747435
FBgn0261113,4,6.67,-0.392916264
FBgn0040070,3,6.976666667,-0.395486007
FBgn0010812,3,6.546666667,-0.399327886
FBgn0033049,4,6.765,-0.401183351
FBgn0021872,4,7.4775,-0.402222469
FBgn0046222,9,6.815555556,-0.403546526
FBgn0002121,11,7.100277778,-0.403620259
FBgn0086408,3,7.633333333,-0.406426573
FBgn0033817,3,6.946666667,-0.408975349
FBgn0031359,5,7.4,-0.416446894
FBgn0031245,3,6.753333333,-0.418909852
FBgn0003275,3,6.703333333,-0.426726132
FBgn0038194,4,6.67,-0.427985908
FBgn0040575,3,6.91,-0.43181693
FBgn0000043,3,6.87,-0.434041233
FBgn0002578,3,6.63,-0.434542303
FBgn0035517,4,6.47,-0.445978052
FBgn0033021,4,6.7475,-0.449801756
FBgn0015621,3,6.896666667,-0.449973123
FBgn0035153,3,6.556666667,-0.451708973
FBgn0020622,6,7.011666667,-0.452585868
FBgn0035106,22,7.3225,-0.456901847
FBgn0037347,9,7.143333333,-0.45748986
FBgn0250789,5,7.328,-0.458236041
FBgn0003278,6,7.221666667,-0.459226406
FBgn0010772,9,6.847777778,-0.459408369
FBgn0085335,3,6.503333333,-0.465949555
FBgn0033692,6,7.41,-0.467023943
FBgn0000497,4,6.845,-0.468384151
FBgn0025525,5,6.976,-0.468410293
FBgn0037435,3,7.776666667,-0.47496205
FBgn0033062,10,6.959,-0.474991036
FBgn0038747,3,7.286666667,-0.475963852
FBgn0035262,5,6.96,-0.477841554
FBgn0037372,6,8.013333333,-0.479200442
FBgn0035120,5,7.174,-0.480981191
FBgn0027111,5,6.88,-0.482477952
FBgn0038619,4,6.96,-0.487407757
FBgn0051522,5,7.082,-0.488463554
FBgn0035923,3,7.776666667,-0.492958016
FBgn0043362,3,6.883333333,-0.493891113
FBgn0003460,3,7.48,-0.494782172
FBgn0038055,3,6.423333333,-0.499202527
FBgn0261436,22,7.098888889,-0.500685174
FBgn0262867,6,6.393333333,-0.50442717
FBgn0037248,17,6.978541667,-0.512938864
FBgn0031238,10,6.753,-0.515991855
FBgn0035248,4,7.495,-0.517410587
FBgn0031375,4,6.745,-0.519136851
FBgn0027930,24,7.139166667,-0.519549683
FBgn0032394,3,7.8,-0.527948802
FBgn0037391,4,7.025,-0.530903094
FBgn0002774,6,7.108333333,-0.535613987
FBgn0261429,10,6.812,-0.538664973
FBgn0031252,7,6.805714286,-0.538999435
FBgn0002931,24,7.297083333,-0.540536884
FBgn0013343,3,8.23,-0.540607489
FBgn0035099,17,7.047368421,-0.544551943
FBgn0010323,10,6.678,-0.555724762
FBgn0000439,3,6.32,-0.557032618
FBgn0026620,3,6.963333333,-0.557245801
FBgn0037242,21,6.964761905,-0.558908138
FBgn0004636,3,8.06,-0.560663842
FBgn0003900,6,6.982156863,0.560957699
FBgn0034542,3,6.756666667,-0.562142633
FBgn0026787,25,6.8832,-0.562751941
FBgn0013576,3,6.706666667,-0.563294788
FBgn0053229,8,7.120606061,-0.577558133
FBgn0031344,3,6.39,-0.585154849
FBgn0035235,8,6.895,-0.588609965
FBgn0261269,3,6.953333333,-0.593019654
FBgn0037293,5,6.934,-0.59303087
FBgn0038660,5,6.8,-0.596500751
FBgn0037363,3,6.556666667,-0.59655958
FBgn0040212,5,7.042,-0.601687885
FBgn0003250,6,7.316666667,-0.603990781
FBgn0035285,7,8.311428571,-0.604414346
FBgn0051648,3,6.646666667,-0.60610754
FBgn0038332,3,6.473333333,-0.606119571
FBgn0027786,23,7.405217391,-0.606704496
FBgn0038617,3,6.573333333,-0.613356475
FBgn0004635,12,7.043333333,-0.617888204
FBgn0035113,14,6.78,-0.620207594
FBgn0259818,23,6.981025641,-0.622467912
FBgn0033317,3,6.93,-0.623310278
FBgn0029095,6,6.99,-0.624237716
FBgn0031304,6,7.188333333,-0.625068918
FBgn0035137,3,6.84,-0.627321384
FBgn0031287,4,6.515,-0.628121715
FBgn0037364,9,6.952222222,-0.629278749
FBgn0002522,9,7.661111111,-0.630761245
FBgn0035195,6,7.03,-0.636951463
FBgn0011725,3,6.963333333,-0.639467848
FBgn0039508,3,6.943333333,-0.640018928
FBgn0031224,24,7.145416667,-0.642411734
FBgn0035101,10,7.040526316,-0.644471217
FBgn0027582,3,6.39,-0.644753094
FBgn0037279,6,6.508333333,-0.647421666
FBgn0025725,8,7.015,-0.649404537
FBgn0250814,3,7.586666667,-0.650531308
FBgn0035237,5,7.178,-0.651663205
FBgn0035315,7,7.065714286,-0.652677724
FBgn0033029,4,7.395,-0.6529954
FBgn0035205,9,7.073333333,-0.656681872
FBgn0261434,20,6.821578947,-0.661661019
FBgn0261563,3,6.813333333,-0.665567279
FBgn0035229,3,6.693333333,-0.667236775
FBgn0035371,3,7.163333333,-0.667959991
FBgn0039404,3,7.623333333,-0.668201111
FBgn0261243,7,6.945714286,-0.671094043
FBgn0029114,5,7.632,-0.671942852
FBgn0031321,3,7.816666667,-0.673883533
FBgn0028997,5,7.96,-0.677573899
FBgn0052343,4,7.2425,-0.677792474
FBgn0037329,9,7.335555556,-0.683008888
FBgn0035264,3,6.71,-0.684179936
FBgn0004901,4,7.9,-0.693869203
FBgn0020304,9,6.656666667,-0.695508644
FBgn0260648,5,7.4,-0.697511287
FBgn0035267,4,7.2175,-0.700729521
FBgn0033038,3,6.76,-0.70119702
FBgn0037728,9,8.32,-0.704242237
FBgn0035158,8,6.995,-0.70784679
FBgn0031379,7,7.701428571,-0.710957367
FBgn0262109,8,7.120606061,-0.712131845
FBgn0031376,4,6.745,-0.712167923
FBgn0050431,7,6.432857143,-0.719650767
FBgn0035145,9,7.108888889,-0.722963779
FBgn0010501,3,6.31,-0.726384167
FBgn0003731,3,7.583333333,-0.727453083
FBgn0036096,3,7.916666667,-0.728713047
FBgn0014857,3,7.15,-0.732881811
FBgn0263510,3,6.49,-0.734400994
FBgn0031250,8,6.9375,-0.737659444
FBgn0028690,7,7.027142857,-0.73955045
FBgn0003430,6,7.243333333,-0.74353621
FBgn0032751,4,6.7575,-0.749489393
FBgn0037371,12,7.229166667,-0.753018741
FBgn0020887,4,7.17,-0.759755636
FBgn0053526,8,7.28,-0.761255297
FBgn0032848,3,7.623333333,-0.778066598
FBgn0028563,3,7.396666667,-0.778762469
FBgn0264707,4,6.635,-0.787788115
FBgn0015376,3,6.94,-0.788666323
FBgn0000071,16,6.769375,-0.789909575
FBgn0021814,3,6.53,-0.791637893
FBgn0037213,14,7.09482449,-0.799326258
FBgn0004926,3,7.963333333,-0.805712502
FBgn0000577,4,6.955,-0.83231912
FBgn0003326,3,6.71,-0.833583717
FBgn0011704,3,7.046666667,-0.868488338
FBgn0025790,3,7.846666667,-0.868850495
