Gene_Name,Number_of_binding_site,Strenght_of_binding,Expression_covariation
FBgn0003278,8,8.9275,-0.486943154
FBgn0003882,18,8.917777778,0.346032842
FBgn0025592,18,8.917777778,0.058745701
FBgn0086130,5,8.91,0.57442475
FBgn0035247,5,8.91,0.473070535
FBgn0037263,5,8.91,0.291967524
FBgn0037262,5,8.91,0.111136353
FBgn0031285,5,8.91,0.007691269
FBgn0037329,5,8.91,-0.168211212
FBgn0013342,5,8.91,-0.230898685
FBgn0037261,5,8.91,-0.504554076
FBgn0001320,10,8.91,-0.611127574
FBgn0022981,5,8.91,-0.249073945
FBgn0261436,18,8.906216216,-0.147137806
FBgn0037230,17,8.893030303,0.151373684
FBgn0031284,7,8.89,0.510002758
FBgn0033039,7,8.89,-0.162429229
FBgn0031231,9,8.878888889,0.713397918
FBgn0052944,13,8.866923077,-0.145133084
FBgn0002931,13,8.866923077,-0.211185769
FBgn0035107,17,8.85,0.488846984
FBgn0031398,4,8.84,0.600100284
FBgn0010333,4,8.84,0.395499431
FBgn0260755,4,8.84,0.377574889
FBgn0032997,4,8.84,0.279876827
FBgn0051658,4,8.84,0.277445381
FBgn0031229,6,8.84,0.268007833
FBgn0067864,4,8.84,0.227746109
FBgn0037218,4,8.84,0.207558489
FBgn0000109,10,8.84,0.136321959
FBgn0261985,4,8.84,0.079247767
FBgn0035192,4,8.84,-0.159922201
FBgn0260799,4,8.84,-0.172263377
FBgn0035146,4,8.84,-0.17743373
FBgn0031384,6,8.84,-0.194176816
FBgn0037428,4,8.84,-0.227087967
FBgn0037414,4,8.84,-0.295440528
FBgn0037249,8,8.84,-0.296223769
FBgn0031321,4,8.84,-0.297951113
FBgn0010583,4,8.84,-0.345937941
FBgn0027111,4,8.84,-0.478734956
FBgn0263346,4,8.84,-0.524488674
FBgn0037364,6,8.84,-0.570589301
FBgn0035205,4,8.84,-0.643132451
FBgn0035106,12,8.819411765,-0.687619143
FBgn0035102,13,8.813076923,0.451377489
FBgn0262117,13,8.813076923,0.091268006
FBgn0037244,9,8.801111111,0.210443524
FBgn0051974,16,8.79625,-0.095125315
FBgn0004373,7,8.79,-0.062722935
FBgn0263594,7,8.79,-0.233334816
FBgn0037242,7,8.79,-0.486214498
FBgn0043458,5,8.77,0.406520272
FBgn0027866,11,8.77,-0.11545992
FBgn0031228,14,8.759230769,0.341391406
FBgn0035109,16,8.7525,0.473224218
FBgn0016977,8,8.7525,-0.417370509
FBgn0259818,8,8.7525,-0.699577972
FBgn0051453,3,8.723333333,0.622645559
FBgn0039697,3,8.723333333,0.603329003
FBgn0035534,3,8.723333333,0.579532127
FBgn0031233,6,8.723333333,0.485199388
FBgn0037327,3,8.723333333,0.418299505
FBgn0035254,3,8.723333333,0.382586858
FBgn0036820,3,8.723333333,0.196883288
FBgn0053213,6,8.723333333,0.152226
FBgn0004179,3,8.723333333,0.143676142
FBgn0033052,3,8.723333333,0.143652522
FBgn0031253,11,8.723333333,0.140366088
FBgn0053158,3,8.723333333,0.118009134
FBgn0035266,3,8.723333333,-0.018602873
FBgn0033872,6,8.723333333,-0.021799741
FBgn0031252,3,8.723333333,-0.047476649
FBgn0037342,6,8.723333333,-0.084016185
FBgn0032129,3,8.723333333,-0.176896071
FBgn0035248,3,8.723333333,-0.261562393
FBgn0031379,3,8.723333333,-0.374699272
FBgn0028997,3,8.723333333,-0.3980071
FBgn0033459,3,8.723333333,-0.455809098
FBgn0031377,3,8.723333333,-0.501479653
FBgn0037363,3,8.723333333,-0.572295892
FBgn0029123,3,8.723333333,-0.608656646
FBgn0010772,6,8.723333333,-0.684314049
FBgn0004777,16,8.70875,0.157007639
FBgn0037250,17,8.695882353,-0.140875099
FBgn0031224,11,8.695882353,-0.256517588
FBgn0037248,17,8.695882353,-0.706793853
FBgn0031360,7,8.69,0.571589905
FBgn0037235,7,8.69,0.004503028
FBgn0031374,7,8.69,-0.068515168
FBgn0031359,7,8.69,-0.226874637
FBgn0035235,7,8.69,-0.531478396
FBgn0000413,4,8.69,-0.581167498
FBgn0037252,12,8.665,0.225502849
FBgn0037297,8,8.665,0.086337711
FBgn0010355,8,8.665,-0.016894316
FBgn0051559,8,8.665,-0.205245639
FBgn0026787,9,8.645555556,-0.486519902
FBgn0024912,5,8.63,0.578084946
FBgn0027579,5,8.63,0.564810078
FBgn0043364,5,8.63,-0.185035713
FBgn0035287,5,8.63,-0.194330891
FBgn0053107,3,8.59,-0.255650429
FBgn0036485,4,8.59,-0.269066207
FBgn0032901,3,8.59,-0.308128963
FBgn0037293,3,8.59,-0.358988741
FBgn0032955,3,8.59,-0.371321405
FBgn0037309,4,8.59,-0.372016131
FBgn0003687,4,8.59,-0.381308594
FBgn0039167,3,8.59,-0.389156643
FBgn0031250,4,8.59,-0.40646471
FBgn0025832,4,8.59,-0.412814621
FBgn0262867,3,8.59,-0.439007577
FBgn0024806,4,8.59,-0.443393443
FBgn0004108,3,8.59,-0.477087389
FBgn0052982,3,8.59,-0.483894301
FBgn0031403,3,8.59,-0.505514934
FBgn0000166,9,8.5775,0.507345367
FBgn0002522,16,8.5775,-0.566024341
FBgn0035237,3,8.54,-0.597549324
FBgn0086697,3,8.54,-0.667253585
FBgn0002774,4,8.54,-0.682167965
FBgn0037299,4,8.515,0.365270671
FBgn0035204,3,8.49,0.626087989
FBgn0037270,3,8.49,0.577600128
FBgn0037351,3,8.49,0.506658766
FBgn0085242,3,8.49,0.499478203
FBgn0035207,3,8.49,0.458270031
FBgn0026238,5,8.49,0.440901004
FBgn0037358,13,8.49,0.419476135
FBgn0002791,3,8.49,0.373436576
FBgn0259704,3,8.49,0.358663421
FBgn0029514,6,8.49,0.172529271
FBgn0037567,4,8.49,0.160573105
FBgn0259705,3,8.49,0.153297535
FBgn0013755,3,8.49,0.15138641
FBgn0003510,3,8.49,0.120330183
FBgn0032487,3,8.49,0.051431221
FBgn0032391,3,8.49,0.043593262
FBgn0261562,6,8.49,-0.03724203
FBgn0035144,5,8.49,-0.051771655
FBgn0263260,4,8.49,-0.076769235
FBgn0026170,4,8.49,-0.110414201
FBgn0003882,3,8.49,-0.148301392
FBgn0259212,4,8.49,-0.195859068
FBgn0046222,3,8.49,-0.239974324
FBgn0025712,3,8.49,-0.256502926
FBgn0264494,4,8.49,-0.284297312
FBgn0037565,4,8.49,-0.328974306
FBgn0001150,6,8.49,-0.338547005
FBgn0026630,6,8.49,-0.366649397
FBgn0000099,4,8.49,-0.396463444
FBgn0037301,3,8.49,-0.425742682
FBgn0032390,3,8.49,-0.452824549
FBgn0039557,4,8.49,-0.466091831
FBgn0028373,4,8.49,-0.502187714
FBgn0051522,4,8.49,-0.525344982
FBgn0034946,3,8.49,-0.53293217
FBgn0015561,3,8.49,-0.535554294
FBgn0039169,4,8.49,-0.55208387
FBgn0025725,3,8.49,-0.568129846
FBgn0000071,5,8.49,-0.594039717
FBgn0035145,7,8.49,-0.611282944
FBgn0035158,3,8.49,-0.619606085
FBgn0037371,10,8.49,-0.640688914
FBgn0002543,4,8.49,-0.722004675
FBgn0027594,4,8.49,-0.739899178
FBgn0262624,5,8.49,-0.375695307
FBgn0020304,5,8.49,-0.626058081
FBgn0031286,4,8.45,-0.273886867
FBgn0000547,5,8.45,-0.574646462
FBgn0261429,7,8.434444444,-0.412305327
FBgn0035164,7,8.415,0.557424557
