"Gene_Name","Number_of_binding_site","Average_strength_of_binding","Expression_covariation"
"FBgn0003882",9,3.5,0.516108561
"FBgn0262117",4,3.98,0.512962801
"FBgn0259234",7,11.48,0.509357446
"FBgn0031374",5,3.5,0.493747928
"FBgn0033010",4,3.55,0.488551808
"FBgn0003444",22,4.74,0.475327748
"FBgn0051619",6,5.68,0.451872035
"FBgn0015546",8,4.79,0.443609191
"FBgn0016119",4,4.02,0.442185001
"FBgn0037270",19,6.2,0.438933463
"FBgn0264574",3,3.5,0.437190314
"FBgn0017457",3,5.11,0.435617297
"FBgn0262115",6,4.02,0.424261791
"FBgn0037199",4,3.98,0.423478259
"FBgn0051344",4,5.48,0.418297547
"FBgn0260862",3,3.55,0.393665701
"FBgn0035102",6,3.93,0.39232358
"FBgn0024945",6,5.74,0.380958207
"FBgn0259212",4,3.48,0.380935135
"FBgn0035109",3,9.48,0.38035687
"FBgn0262169",9,4.02,0.376044006
"FBgn0015834",14,4.02,0.371358291
"FBgn0000464",3,3.48,0.358073399
"FBgn0260798",23,4.02,0.355711208
"FBgn0031663",4,4.24,0.348188606
"FBgn0029117",9,4.07,0.343351922
"FBgn0035136",4,3.48,0.343324475
"FBgn0035247",4,3.48,0.335424051
"FBgn0028539",3,3.5,0.32852482
"FBgn0035983",4,3.48,0.327507
"FBgn0031260",3,3.48,0.32637287
"FBgn0020248",6,4.15,0.31213163
"FBgn0037299",4,3.48,0.311490227
"FBgn0033961",4,5.68,0.309141337
"FBgn0067779",3,7.93,0.308426519
"FBgn0037282",11,4.02,0.305610495
"FBgn0025806",3,5.25,0.297528287
"FBgn0031418",3,3.55,0.296519787
"FBgn0019949",3,4.07,0.280498721
"FBgn0260799",18,8.5,0.27982537
"FBgn0026372",3,3.5,0.278814758
"FBgn0034792",8,4.24,0.274155496
"FBgn0033912",5,3.55,0.272698863
"FBgn0262116",3,4.07,0.271763465
"FBgn0031270",9,4.02,0.270039874
"FBgn0031296",6,3.98,0.268733987
"FBgn0037244",3,4.02,0.261255815
"FBgn0037251",4,4.07,0.259169557
"FBgn0024912",4,5.48,0.257905112
"FBgn0085203",17,3.93,0.25450094
"FBgn0027866",3,7.48,0.249334456
"FBgn0039213",7,4.5,0.248938802
"FBgn0039126",18,3.48,0.247640642
"FBgn0028952",3,3.66,0.243420747
"FBgn0020305",7,4.02,0.242533528
"FBgn0051658",9,4.15,0.222337138
"FBgn0033060",3,3.48,0.218834406
"FBgn0031281",4,5.68,0.21830074
"FBgn0039764",5,7.93,0.209500851
"FBgn0031229",5,4.02,0.209259605
"FBgn0002622",11,6.25,0.198692518
"FBgn0261261",6,3.55,0.193863253
"FBgn0053635",3,4.07,0.189725737
"FBgn0025676",7,3.5,0.185123652
"FBgn0037351",16,3.5,0.183407688
"FBgn0037231",5,4.24,0.172679134
"FBgn0026417",18,3.55,0.16635007
"FBgn0034572",4,4.07,0.163626256
"FBgn0037330",5,4.02,0.163227789
"FBgn0260936",12,3.98,0.162976399
"FBgn0032957",16,4.02,0.159835266
"FBgn0003076",3,4.07,0.156287694
"FBgn0034493",4,5.48,0.131586968
"FBgn0010602",7,3.93,0.128537
"FBgn0263594",3,7.48,0.12290794
"FBgn0035254",4,6.5,0.113935315
"FBgn0037263",3,3.48,0.112886078
"FBgn0035141",4,3.66,0.108084051
"FBgn0000289",11,4.02,0.106532679
"FBgn0045035",7,4.15,0.104992697
"FBgn0035194",16,3.48,0.104749223
"FBgn0010909",4,5.68,0.09211316
"FBgn0037876",4,7.93,0.085421597
"FBgn0038111",3,4.02,0.078351658
"FBgn0003512",6,5.25,0.076496302
"FBgn0011227",3,3.55,0.067213673
"FBgn0001086",4,4.07,0.056309168
"FBgn0035162",4,4.5,0.053208712
"FBgn0034579",4,3.5,0.045814484
"FBgn0037249",3,4.24,0.044165421
"FBgn0035169",5,3.55,0.043407497
"FBgn0037235",5,4.07,0.02937026
"FBgn0031227",3,4.02,0.029091632
"FBgn0032821",3,3.98,0.026883297
"FBgn0037220",7,4.02,0.023183439
"FBgn0025286",4,4.07,0.009269616
"FBgn0024806",7,5.48,0.008597242
"FBgn0036998",3,3.93,0.007407933
"FBgn0015331",4,7.48,0.006672197
"FBgn0029514",7,5.85,-0.005775463
"FBgn0037241",3,3.5,-0.009357171
"FBgn0004777",12,3.48,-0.013156371
"FBgn0041191",12,3.48,-0.013396878
"FBgn0035253",3,3.93,-0.016299235
"FBgn0033376",6,3.93,-0.019932498
"FBgn0039114",5,3.48,-0.021278034
"FBgn0038302",5,6.02,-0.024540686
"FBgn0004870",8,5.66,-0.026822167
"FBgn0010750",4,6.07,-0.029384852
"FBgn0031631",5,7.74,-0.033098616
"FBgn0052069",3,5.25,-0.034085786
"FBgn0035159",4,4.07,-0.036634762
"FBgn0037230",4,3.93,-0.039053271
"FBgn0028734",4,6.73,-0.055970703
"FBgn0032869",3,3.48,-0.056506075
"FBgn0035146",3,6.02,-0.058233544
"FBgn0039130",3,3.66,-0.061343387
"FBgn0035298",15,4.07,-0.063631359
"FBgn0038407",3,6.12,-0.064099191
"FBgn0037923",9,3.55,-0.064674491
"FBgn0031384",3,6.02,-0.069611795
"FBgn0039116",3,3.48,-0.071421339
"FBgn0028540",7,5.5,-0.072100236
"FBgn0016715",5,3.93,-0.073078203
"FBgn0020279",5,4.69,-0.078745027
"FBgn0263346",15,4.07,-0.080260267
"FBgn0001316",3,4.2,-0.085850864
"FBgn0032871",4,5.74,-0.09185967
"FBgn0037228",11,3.93,-0.095776279
"FBgn0025592",3,4.02,-0.097044513
"FBgn0037265",4,3.5,-0.098010863
"FBgn0033431",5,4.61,-0.09968438
"FBgn0013753",5,4.2,-0.104297799
"FBgn0262955",4,3.5,-0.105437604
"FBgn0035110",4,5.93,-0.107226395
"FBgn0027066",7,3.48,-0.109206224
"FBgn0026427",7,6.55,-0.115666726
"FBgn0004378",6,4.12,-0.116097084
"FBgn0035199",7,4.02,-0.11715523
"FBgn0037313",6,3.48,-0.120970897
"FBgn0003510",3,3.53,-0.125789474
"FBgn0016977",4,4.02,-0.130262477
"FBgn0260756",23,3.5,-0.130311193
"FBgn0033246",6,3.5,-0.138034533
"FBgn0036574",3,5.73,-0.158128985
"FBgn0028675",3,5.74,-0.160340055
"FBgn0039588",4,6.53,-0.169879868
"FBgn0037262",3,6.02,-0.174240958
"FBgn0031399",3,6.48,-0.182089629
"FBgn0003415",3,3.5,-0.182369298
"FBgn0032491",16,3.5,-0.183814457
"FBgn0031228",7,6.5,-0.184373758
"FBgn0037215",4,3.48,-0.1858679
"FBgn0034877",5,5.74,-0.188245814
"FBgn0035189",29,5.25,-0.190353646
"FBgn0031294",4,4.24,-0.191928411
"FBgn0035287",14,5.25,-0.192545712
"FBgn0037240",7,3.48,-0.19639202
"FBgn0086758",9,6.68,-0.1971065
"FBgn0022981",9,5.93,-0.197893134
"FBgn0028481",4,3.5,-0.198472242
"FBgn0032026",9,6.5,-0.200808828
"FBgn0035268",3,6.53,-0.202563074
"FBgn0037225",11,6.48,-0.202626636
"FBgn0013755",5,3.53,-0.205564783
"FBgn0035144",6,3.48,-0.206687759
"FBgn0038806",3,5.74,-0.207443371
"FBgn0027538",5,3.5,-0.215717469
"FBgn0031253",4,3.98,-0.219175303
"FBgn0037217",13,3.64,-0.219180865
"FBgn0035318",10,3.53,-0.228833289
"FBgn0031285",16,3.48,-0.228890156
"FBgn0032812",4,5.73,-0.228959882
"FBgn0035227",4,4.2,-0.231444657
"FBgn0046222",5,5.48,-0.23542655
"FBgn0031220",8,5.69,-0.24123745
"FBgn0010424",13,3.5,-0.243682894
"FBgn0013342",3,4.11,-0.245405042
"FBgn0052311",14,4.02,-0.245661886
"FBgn0037224",5,3.48,-0.248644341
"FBgn0037317",3,3.53,-0.249690953
"FBgn0086906",5,6.93,-0.25200646
"FBgn0027491",3,3.48,-0.257173066
"FBgn0035431",3,3.53,-0.259086262
"FBgn0263109",4,3.55,-0.262717832
"FBgn0039766",3,5.74,-0.26621894
"FBgn0263113",4,6.61,-0.270579801
"FBgn0051100",7,4.02,-0.280932419
"FBgn0031216",3,5.74,-0.281240694
"FBgn0035266",4,5.84,-0.296009453
"FBgn0051481",3,3.93,-0.296815021
"FBgn0036648",3,3.48,-0.297146619
"FBgn0038809",4,3.5,-0.301163258
"FBgn0035203",11,3.55,-0.305157013
"FBgn0033032",5,3.5,-0.306068596
"FBgn0037372",3,4.69,-0.306937128
"FBgn0041605",5,6.32,-0.30786663
"FBgn0015905",16,3.48,-0.309457994
"FBgn0035751",3,5.79,-0.312607526
"FBgn0027570",5,3.5,-0.317478567
"FBgn0052475",3,6.07,-0.319231024
"FBgn0261437",4,4.02,-0.321927208
"FBgn0051974",7,4.44,-0.328384476
"FBgn0051559",6,6.66,-0.329013071
"FBgn0025683",3,5.74,-0.330380793
"FBgn0052944",4,3.5,-0.334256171
"FBgn0051632",9,6.48,-0.334468699
"FBgn0035325",4,3.48,-0.33691558
"FBgn0036662",5,7.53,-0.34004971
"FBgn0031634",10,4.02,-0.346940563
"FBgn0043364",16,7.12,-0.356560664
"FBgn0010395",3,3.48,-0.360519911
"FBgn0039769",4,5.74,-0.363066388
"FBgn0032221",4,4.07,-0.363328382
"FBgn0037678",3,4.2,-0.3672221
"FBgn0039157",4,4.07,-0.379905241
"FBgn0051973",4,3.48,-0.388001081
"FBgn0035103",10,3.48,-0.391010385
"FBgn0025712",5,3.53,-0.392674863
"FBgn0036977",3,3.64,-0.394005244
"FBgn0002021",6,3.93,-0.395188985
"FBgn0039688",6,3.5,-0.402493767
"FBgn0261613",9,4.07,-0.408224413
"FBgn0000099",4,5.74,-0.408870435
"FBgn0262126",4,3.55,-0.413202412
"FBgn0002121",6,4.88,-0.41379196
"FBgn0031261",4,5.74,-0.414498317
"FBgn0260794",5,7.94,-0.420925922
"FBgn0264479",3,4.92,-0.421941883
"FBgn0031252",3,6.88,-0.431615997
"FBgn0010225",6,3.93,-0.433590292
"FBgn0031818",5,6.48,-0.440651312
"FBgn0031377",3,3.5,-0.444132043
"FBgn0037297",13,4.88,-0.445772371
"FBgn0050156",3,4.02,-0.447259925
"FBgn0000043",6,4.69,-0.448282646
"FBgn0037347",16,5.93,-0.451242791
"FBgn0037046",14,5.2,-0.453200956
"FBgn0032901",4,4.61,-0.454184577
"FBgn0086768",10,4.02,-0.458955833
"FBgn0035440",6,4.02,-0.465515801
"FBgn0050460",10,3.48,-0.477418841
"FBgn0035248",4,3.93,-0.477530405
"FBgn0036991",3,5.85,-0.480351856
"FBgn0031239",4,3.48,-0.482811994
"FBgn0037309",5,3.5,-0.483728793
"FBgn0031224",4,3.55,-0.486457207
"FBgn0261436",13,3.93,-0.49152059
"FBgn0038431",3,3.5,-0.49379232
"FBgn0031286",5,4.44,-0.49533602
"FBgn0035415",4,3.5,-0.496138726
"FBgn0037435",3,5.11,-0.498438298
"FBgn0020622",3,4.93,-0.500056855
"FBgn0035678",21,5.5,-0.501992761
"FBgn0033520",4,4.44,-0.502049103
"FBgn0053107",12,3.93,-0.504471964
"FBgn0031251",13,4.2,-0.505087213
"FBgn0004603",6,5.2,-0.505546339
"FBgn0035923",5,6.66,-0.507602148
"FBgn0053229",4,4.02,-0.516126344
"FBgn0261429",6,6.98,-0.516267352
"FBgn0036988",4,4.02,-0.517006258
"FBgn0033373",4,5.84,-0.518428607
"FBgn0031238",9,3.5,-0.518699035
"FBgn0040765",3,5.84,-0.521822569
"FBgn0010323",3,3.48,-0.524843299
"FBgn0085335",9,4.02,-0.532152627
"FBgn0035106",5,5.74,-0.538681427
"FBgn0035099",17,3.66,-0.540794475
"FBgn0261554",3,4.02,-0.542477521
"FBgn0027949",11,6.2,-0.542714364
"FBgn0015524",13,5.74,-0.543043894
"FBgn0026787",6,6.48,-0.543367086
"FBgn0002931",12,3.48,-0.550960364
"FBgn0002774",5,4.61,-0.552537694
"FBgn0010772",4,3.5,-0.552591553
"FBgn0035113",4,4.02,-0.552770222
"FBgn0031245",26,4.29,-0.553281086
"FBgn0037248",5,6.5,-0.556550354
"FBgn0026370",5,3.48,-0.568729005
"FBgn0262467",5,3.66,-0.573817928
"FBgn0051522",3,7.48,-0.573826777
"FBgn0033062",7,6.55,-0.575438654
"FBgn0262867",6,4.69,-0.577751766
"FBgn0003557",7,5.5,-0.579769464
"FBgn0027786",7,3.64,-0.580497249
"FBgn0010453",13,4.74,-0.582057357
"FBgn0034726",3,3.55,-0.584869095
"FBgn0032154",3,3.5,-0.592045127
"FBgn0052476",4,5.59,-0.596844353
"FBgn0016054",5,3.48,-0.599653902
"FBgn0035270",3,6.5,-0.601290495
"FBgn0031359",3,4.2,-0.607920468
"FBgn0037301",3,3.53,-0.610560313
"FBgn0037391",3,4.44,-0.612554689
"FBgn0034542",12,6.93,-0.616306316
"FBgn0035147",8,4.12,-0.616903446
"FBgn0031574",3,3.5,-0.617958569
"FBgn0086695",3,3.48,-0.61910716
"FBgn0027930",4,4.07,-0.621437031
"FBgn0037250",4,4.55,-0.621441965
"FBgn0025525",6,5.74,-0.625391839
"FBgn0259818",11,5.53,-0.627515344
"FBgn0011817",4,3.48,-0.630044885
"FBgn0037921",9,3.48,-0.632049336
"FBgn0010313",4,3.53,-0.632279222
"FBgn0026309",4,3.48,-0.635307427
"FBgn0031287",6,5.25,-0.639266852
"FBgn0037342",5,3.48,-0.643507448
"FBgn0031344",6,3.48,-0.645515768
"FBgn0011297",10,5.64,-0.648553039
"FBgn0031321",4,3.48,-0.650930066
"FBgn0010438",6,3.5,-0.651102732
"FBgn0052343",5,7.53,-0.653897494
"FBgn0033913",5,4.02,-0.655923105
"FBgn0031265",4,3.93,-0.656080412
"FBgn0261434",5,3.98,-0.65898459
"FBgn0037293",11,6.29,-0.660505712
"FBgn0037242",3,6.68,-0.66156729
"FBgn0037364",6,3.5,-0.662291284
"FBgn0035235",10,5.74,-0.663244897
"FBgn0013576",11,4.02,-0.669032511
"FBgn0035285",7,3.5,-0.670125181
"FBgn0020304",6,3.48,-0.671810393
"FBgn0024326",6,3.55,-0.672686695
"FBgn0051211",3,4.92,-0.675132835
"FBgn0033884",8,3.93,-0.67594709
"FBgn0037371",4,3.48,-0.682873825
"FBgn0011656",4,4.69,-0.687690316
"FBgn0039210",3,4.02,-0.690167497
"FBgn0032489",3,3.48,-0.691593977
"FBgn0002522",4,4.07,-0.692279013
"FBgn0027597",4,4.74,-0.692942131
"FBgn0033890",3,3.48,-0.69326666
"FBgn0036999",6,5.74,-0.698115838
"FBgn0035205",3,6.5,-0.703296707
"FBgn0035267",4,5.74,-0.706721145
"FBgn0037025",5,6.32,-0.707168327
"FBgn0033038",5,4.74,-0.70868432
"FBgn0259823",3,6.93,-0.709723579
"FBgn0035101",4,4.07,-0.709880004
"FBgn0035229",3,3.5,-0.71019598
"FBgn0035158",3,5.74,-0.711118866
"FBgn0035264",4,4.12,-0.717660105
"FBgn0004635",7,4.11,-0.720772849
"FBgn0031304",6,3.53,-0.722277601
"FBgn0025725",3,4.2,-0.727460437
"FBgn0261243",7,6.12,-0.732894313
"FBgn0028563",6,6.48,-0.733777319
"FBgn0050431",3,3.5,-0.735626211
"FBgn0264694",4,3.64,-0.739025111
"FBgn0037279",3,3.48,-0.739433429
"FBgn0262109",3,3.53,-0.745053142
"FBgn0035145",4,4.02,-0.751983612
"FBgn0037261",7,4.29,-0.757835623
"FBgn0002543",3,4.07,-0.761549999
"FBgn0035237",3,6.07,-0.767125179
"FBgn0262624",4,4.02,-0.771179094
"FBgn0031250",4,3.5,-0.775404889
"FBgn0010228",3,3.64,-0.775858182
"FBgn0039189",5,3.55,-0.776057465
"FBgn0039348",8,5.11,-0.776488033
"FBgn0031379",3,4.93,-0.785565494
"FBgn0029095",3,4.93,-0.787145406
"FBgn0020257",4,3.48,-0.796700962
"FBgn0051638",8,4.29,-0.799325691
"FBgn0026179",9,5.73,-0.799616066
"FBgn0264707",3,7.94,-0.801592337
"FBgn0037439",3,5.74,-0.803413538
"FBgn0011704",3,3.55,-0.807101534
"FBgn0037633",12,6.5,-0.811379998
"FBgn0053526",8,4.48,-0.817077518
"FBgn0028789",4,3.48,-0.827944157
"FBgn0023214",5,3.53,-0.828708441
"FBgn0037213",4,6.93,-0.833559586
"FBgn0013725",6,4.02,-0.848000739
"FBgn0000071",10,6.02,-0.851299371
"FBgn0041160",7,6.48,-0.868905589
"FBgn0035236",13,3.5,-0.874190435
"FBgn0026320",16,3.64,-0.875591207
